system:index,impervious_surface,institution_type,name,.geo
00000000000000000000_0,99,Fortune 500 HQ,363. Voya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
00000000000000000001_0,87,Fortune 500 HQ,64. Adobe,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88640354421072,37.33808980277822]}"
00000000000000000002_0,88,Fortune 500 HQ,"53. Walt Disney, Burbank, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.30887305969341,34.180811739546435]}"
00000000000000000003_0,90,Fortune 500 HQ,360. Glenworth Financial,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.43611999524921,37.540833813522745]}"
00000000000000000004_0,94,Fortune 500 HQ,"374. Expeditors, 3rd Avenue, Seattle, WA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.3345312505714,47.60580940364504]}"
00000000000000000005_0,91,Fortune 500 HQ,"373. Dana Incorporated, Longbow Drive, Maumee, OH, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.68416817728294,41.57492974314209]}"
00000000000000000006_0,81,Fortune 500 HQ,"372. Jefferies Financial Group, Madison Avenue, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97437926296287,40.760320840675206]}"
00000000000000000007_0,97,Fortune 500 HQ,"370. Wesco International Inc, West Station Square Drive, Pittsburgh, PA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.00567674567326,40.43380311065116]}"
00000000000000000008_0,88,Fortune 500 HQ,"371. Huntington Ingalls Industries, Washington Avenue, Newport News, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.43712149493413,36.988193377871156]}"
00000000000000000009_0,84,Fortune 500 HQ,369. Amphenol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.82303065997381,41.45696110580235]}"
0000000000000000000a_0,99,Fortune 500 HQ,"379. United Rentals,Stamford, CT, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.55713634914939,41.04056146261444]}"
0000000000000000000b_0,100,Fortune 500 HQ,"378. Assurant, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00897201158651,40.70780139447902]}"
0000000000000000000c_0,81,Fortune 500 HQ,368. Alaska Air Group,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33224422346358,47.606255301033265]}"
0000000000000000000d_0,91,Fortune 500 HQ,"377. SpartanNash Company,  Byron Center, MI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.68465846957176,42.825557145666075]}"
0000000000000000000e_0,96,Fortune 500 HQ,"376. Darden Restaurants, Darden Center Drive, Orlando, FL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.42498110397312,28.417954779221173]}"
0000000000000000000f_0,68,Fortune 500 HQ,367. THOR INDUSTRIES,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.97664473287497,41.68212203220422]}"
00000000000000000010_0,74,Fortune 500 HQ,"375. EMCOR Norwalk, Connecticut, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.42700214132233,41.14948852442208]}"
00000000000000000011_0,74,Fortune 500 HQ,366. Masco Corp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.35272060860582,42.36831497203214]}"
00000000000000000012_0,92,Fortune 500 HQ,"365. Caesars Entertainment, Caesars Palace Drive, Las Vegas, NV, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.17541599764334,36.11661959736014]}"
00000000000000000013_0,100,Fortune 500 HQ,"399. JetBlue Airways Corporation, Queens Plaza North, Long Island City, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.93867269551406,40.75098750882796]}"
00000000000000000014_0,96,Fortune 500 HQ,"398. WEC Energy Group, West Michigan Street, Milwaukee, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.91375442057229,43.03708387810566]}"
00000000000000000015_0,90,Fortune 500 HQ,"397. W. R. Berkley Corporation, Steamboat Road, Greenwich, CT, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.62229415844955,41.01860685582369]}"
00000000000000000016_0,84,Fortune 500 HQ,"396. EnLink Midstream, Routh Street, Dallas, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.7951694134236,32.79196203496642]}"
00000000000000000017_0,70,Fortune 500 HQ,"391. Anixter Glenview, Patriot Boulevard, Glenview, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.8237782393084,42.09754449243303]}"
00000000000000000018_0,68,Fortune 500 HQ,"395 Osh Kosh, Oshkosh, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.54252944246284,44.02463730555787]}"
00000000000000000019_0,81,Fortune 500 HQ,"394. Builders FirstSource, Bryan Street, Dallas, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.79639062175609,32.785230754226816]}"
0000000000000000001a_0,94,Fortune 500 HQ,363. Ryder System,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.19179127843103,25.761606507002636]}"
0000000000000000001b_0,81,Fortune 500 HQ,"393. Dean Foods Company, North Haskell Avenue, Dallas, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.79240414325534,32.80542658540698]}"
0000000000000000001c_0,72,Fortune 500 HQ,"392. PPL, Allentown, PA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.57063048548238,40.60811281850212]}"
0000000000000000001d_0,87,Fortune 500 HQ,362. Yum China Holdings,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.69890688998554,33.0197789286007]}"
0000000000000000001e_0,87,Fortune 500 HQ,"391. Hershey, PA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.65015232615428,40.285783531311864]}"
0000000000000000001f_0,87,Fortune 500 HQ,"390. Alliance Data Systems, Plano, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.69890688998554,33.0197789286007]}"
00000000000000000020_0,83,Fortune 500 HQ,"389. Berry Global, Oakley Street, Evansville, IN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.57265101820119,37.97899622566]}"
00000000000000000021_0,81,Fortune 500 HQ,361. Fidelity National Information Services,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.65572189181955,30.33232817876124]}"
00000000000000000022_0,95,Fortune 500 HQ,"388. Tractor Supply Company  Brentwood, TN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.81282265561659,36.03220625137493]}"
00000000000000000023_0,93,Fortune 500 HQ,"387. Zimmer Biomet Warsaw, IN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.88392693971372,41.24058356733409]}"
00000000000000000024_0,96,Fortune 500 HQ,"386. Conagra Brands, Chicago, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.6298578670572,41.87807905701323]}"
00000000000000000025_0,100,Fortune 500 HQ,"385. Foot Locker, Broadway, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.98628272316606,40.75526471830631]}"
00000000000000000026_0,92,Fortune 500 HQ,359. Dick’s Sporting Goods,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.16688012650391,40.518353596596086]}"
00000000000000000027_0,90,Fortune 500 HQ,"384. Fifth Third Bank, OH, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.41146323854703,39.166927438545436]}"
00000000000000000028_0,89,Fortune 500 HQ,"358. Eversource, Station Drive, Westwood, MA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.15956321507831,42.20304393864451]}"
00000000000000000029_0,86,Fortune 500 HQ,"383. Cheniere Energy Inc, Milam Street, Houston, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.36531379999246,29.76023755295631]}"
0000000000000000002a_0,94,Fortune 500 HQ,"357. National Oilwell Varco, Cypress Creek Road, Cedar Park, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.82778441696648,30.489872690047935]}"
0000000000000000002b_0,94,Fortune 500 HQ,"382. Auto-Owners Insurance, Anacapri Drive, Lansing, MI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.638341284401,42.72181730557415]}"
0000000000000000002c_0,83,Fortune 500 HQ,"381. Erie Insurance Arena, French Street, Erie, PA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.08091733994634,42.12800585841643]}"
0000000000000000002d_0,83,Fortune 500 HQ,356. Jones Financial (Edward Jones),"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.43306311076886,38.60081102018204]}"
0000000000000000002e_0,43,Fortune 500 HQ,"380. Liberty Media Corporation, Liberty Boulevard, Englewood, CO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.84617405291749,39.55317269731565]}"
0000000000000000002f_0,86,Fortune 500 HQ,355. Frontier Communications,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40807922726275,41.11768234264255]}"
00000000000000000030_0,100,Fortune 500 HQ,"500. Levi's Store, San Francisco, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.40608396350629,37.785137014363094]}"
00000000000000000031_0,71,Fortune 500 HQ,"354. J.B. Hunt Transport Services, Inc., J B Hunt Corporate Drive, Lowell, AR, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.1493682379972,36.2447292885792]}"
00000000000000000032_0,95,Fortune 500 HQ,"499. Peabody Energy, St. Louis, MO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.19272575527651,38.62673151461586]}"
00000000000000000033_0,85,Fortune 500 HQ,"498. Western Union,Denver, CO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.97600644393472,39.74019480432041]}"
00000000000000000034_0,93,Fortune 500 HQ,353. UNIVAR,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.01119476535716,41.80893651023741]}"
00000000000000000035_0,89,Fortune 500 HQ,352. WESTLAKE CHEMICAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.36965665356581,29.760533237441532]}"
00000000000000000036_0,99,Fortune 500 HQ,351. Thrivent Financial for Lutherans,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.26505021696477,44.97780033436692]}"
00000000000000000037_0,85,Fortune 500 HQ,350. Rockwell Collins,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.05326700828566,26.71519040733026]}"
00000000000000000038_0,69,Fortune 500 HQ,"349. Campbell Soup Company, Campbell Place, Camden, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.1080848247753,39.9391392508203]}"
00000000000000000039_0,95,Fortune 500 HQ,348. WILLIAMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.9929338734276,36.15405448013639]}"
0000000000000000003a_0,0,Fortune 500 HQ,"347. Veritiv Corporation, Governors Lake Parkway, Norcross, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.25137972438073,33.92992221340214]}"
0000000000000000003b_0,96,Fortune 500 HQ,346. GameStop,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.07806605533752,32.9342960318531]}"
0000000000000000003c_0,97,Fortune 500 HQ,"497. Navient, Wilmington, DE, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.55906894947849,39.73818437919381]}"
0000000000000000003d_0,84,Fortune 500 HQ,"496. Simon Property Group, East Washington Street, Indianapolis, IN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.16198151196484,39.76706630391217]}"
0000000000000000003e_0,91,Fortune 500 HQ,"495. Williams-Sonoma, Post Street, San Francisco, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.40740467164672,37.7887406547541]}"
0000000000000000003f_0,94,Fortune 500 HQ,"494. Yum Brands, Louisville, KY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.75847770091296,38.25280175026821]}"
00000000000000000040_0,59,Fortune 500 HQ,"493. Windstream Holdings Little Rock, AR, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.28966707801885,34.74660309967281]}"
00000000000000000041_0,88,Fortune 500 HQ,345. Hilton Worldwide Holdings,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.17712595739924,38.933750988057085]}"
00000000000000000042_0,91,Fortune 500 HQ,"492. Harley-Davidson Museum, West Canal Street, Milwaukee, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.91662773329796,43.03160132714323]}"
00000000000000000043_0,85,Fortune 500 HQ,"491. First American Financial, Santa Ana, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.8600914814489,33.70193265746988]}"
00000000000000000044_0,94,Fortune 500 HQ,344. Air Products & Chemicals,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.47132962995046,40.602248240701435]}"
00000000000000000045_0,61,Fortune 500 HQ,"489. TreeHouse Foods, Inc., Spring Road, Oak Brook, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.94741221108164,41.84935941454072]}"
00000000000000000046_0,76,Fortune 500 HQ,"488. Fiserv, Inc., Fiserv Drive, Brookfield, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.14110552827371,43.033706200160935]}"
00000000000000000047_0,81,Fortune 500 HQ,"487. Zoetis Inc., Sylvan Way, Parsippany, New Jersey, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.4446893781681,40.847012681789074]}"
00000000000000000048_0,85,Fortune 500 HQ,342. Brighthouse Financial,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.8430531752072,35.22704032572217]}"
00000000000000000049_0,93,Fortune 500 HQ,"486. Ingredion, Westchester, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.90514678507999,41.84536146359771]}"
0000000000000000004a_0,88,Fortune 500 HQ,"485. ON Semiconductor, Phoenix, AZ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.9702248948382,33.463705139881924]}"
0000000000000000004b_0,99,Fortune 500 HQ,NA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
