system:index,avg_rad,institution_type,name,.geo
00000000000000000000_0,158.49083,Fortune 500 HQ,363. Voya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00545889397648,40.713894464507014]}"
00000000000000000001_0,121.425835,Fortune 500 HQ,64. Adobe,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88566353754698,37.33622899621761]}"
00000000000000000002_0,138.48167,Fortune 500 HQ,"53. Walt Disney, Burbank, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.31036870675129,34.178650772537495]}"
00000000000000000003_0,173.55084,Fortune 500 HQ,360. Glenworth Financial,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.43702327931305,37.5428415115651]}"
00000000000000000004_0,173.81084,Fortune 500 HQ,"374. Expeditors, 3rd Avenue, Seattle, WA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33482117960673,47.603972693703746]}"
00000000000000000005_0,37.703335,Fortune 500 HQ,"373. Dana Incorporated, Longbow Drive, Maumee, OH, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.68480608036432,41.576277137261755]}"
00000000000000000006_0,248.32083,Fortune 500 HQ,"372. Jefferies Financial Group, Madison Avenue, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9740178590323,40.75881022871299]}"
00000000000000000007_0,80.18916,Fortune 500 HQ,"370. Wesco International Inc, West Station Square Drive, Pittsburgh, PA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.00620499189489,40.43541672642996]}"
00000000000000000008_0,91.06834,Fortune 500 HQ,"371. Huntington Ingalls Industries, Washington Avenue, Newport News, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.43540173751978,36.9903776118316]}"
00000000000000000009_0,25.376667,Fortune 500 HQ,369. Amphenol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.82417429535931,41.45500457390562]}"
0000000000000000000a_0,50.169167,Fortune 500 HQ,"379. United Rentals,Stamford, CT, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.55630125191672,41.04177954321064]}"
0000000000000000000b_0,181.5675,Fortune 500 HQ,"378. Assurant, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00995047039709,40.709402888086416]}"
0000000000000000000c_0,170.245,Fortune 500 HQ,368. Alaska Air Group,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33032960318614,47.603972693703746]}"
0000000000000000000d_0,42.013332,Fortune 500 HQ,"377. SpartanNash Company,  Byron Center, MI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.68355758753026,42.82493538218789]}"
0000000000000000000e_0,30.015833,Fortune 500 HQ,"376. Darden Restaurants, Darden Center Drive, Orlando, FL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.42554314080373,28.415958224910764]}"
0000000000000000000f_0,68.308334,Fortune 500 HQ,367. THOR INDUSTRIES,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.9755100548691,41.6840749713561]}"
00000000000000000010_0,22.77,Fortune 500 HQ,"375. EMCOR Norwalk, Connecticut, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4260455357194,41.149577377304986]}"
00000000000000000011_0,46.771667,Fortune 500 HQ,366. Masco Corp,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.3524294252401,42.36679458728693]}"
00000000000000000012_0,732.43,Fortune 500 HQ,"365. Caesars Entertainment, Caesars Palace Drive, Las Vegas, NV, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.17524836517416,36.11452020981506]}"
00000000000000000013_0,209.41083,Fortune 500 HQ,"399. JetBlue Airways Corporation, Queens Plaza North, Long Island City, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.93808524766752,40.74982707587179]}"
00000000000000000014_0,222.23666,Fortune 500 HQ,"398. WEC Energy Group, West Michigan Street, Milwaukee, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.91587106856727,43.03603947395598]}"
00000000000000000015_0,41.115,Fortune 500 HQ,"397. W. R. Berkley Corporation, Steamboat Road, Greenwich, CT, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.62367489822569,41.019321661107654]}"
00000000000000000016_0,137.70334,Fortune 500 HQ,"396. EnLink Midstream, Routh Street, Dallas, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.79571765208874,32.79075365857283]}"
00000000000000000017_0,31.279167,Fortune 500 HQ,"391. Anixter Glenview, Patriot Boulevard, Glenview, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.82603954015532,42.09730000205108]}"
00000000000000000018_0,48.804165,Fortune 500 HQ,"395 Osh Kosh, Oshkosh, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.54469176745094,44.02418628648745]}"
00000000000000000019_0,193.06,Fortune 500 HQ,"394. Builders FirstSource, Bryan Street, Dallas, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.79571765208874,32.786262082152234]}"
0000000000000000001a_0,215.2675,Fortune 500 HQ,363. Ryder System,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.1903596251394,25.76143656033758]}"
0000000000000000001b_0,135.1675,Fortune 500 HQ,"393. Dean Foods Company, North Haskell Avenue, Dallas, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.79122607566815,32.80422838783463]}"
0000000000000000001c_0,28.256666,Fortune 500 HQ,"392. PPL, Allentown, PA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.56852748834444,40.60609663041267]}"
