system:index,institution_type,name,no2,.geo
00000000000000000000_0,Fortune 500 HQ,363. Voya,1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
00000000000000000001_0,Fortune 500 HQ,64. Adobe,4.5630690016335E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.89689247859847,37.32050847874552]}"
00000000000000000002_0,Fortune 500 HQ,"53. Walt Disney, Burbank, CA, USA",9.340272189375145E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.31261449496158,34.17640498432719]}"
00000000000000000003_0,Fortune 500 HQ,360. Glenworth Financial,2.7033178018008226E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.43926906752336,37.572036758298985]}"
00000000000000000004_0,Fortune 500 HQ,"374. Expeditors, 3rd Avenue, Seattle, WA, USA",5.915514217561968E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33706696781704,47.63316794043763]}"
00000000000000000005_0,Fortune 500 HQ,"373. Dana Incorporated, Longbow Drive, Maumee, OH, USA",4.2323931448874595E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.66459398647163,41.59648923115444]}"
00000000000000000006_0,Fortune 500 HQ,"372. Jefferies Financial Group, Madison Avenue, New York, NY, USA",1.0035571628393234E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.77902232260568]}"
00000000000000000007_0,Fortune 500 HQ,"370. Wesco International Inc, West Station Square Drive, Pittsburgh, PA, USA",3.774325011085493E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.01743393294637,40.46461197316385]}"
00000000000000000008_0,Fortune 500 HQ,"371. Huntington Ingalls Industries, Washington Avenue, Newport News, VA, USA",2.8134291832782917E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.43315594930948,37.00609812930369]}"
00000000000000000009_0,Fortune 500 HQ,369. Amphenol,5.432739385074581E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.8488779656726,41.47072509137771]}"
0000000000000000000a_0,Fortune 500 HQ,"379. United Rentals,Stamford, CT, USA",5.045111752950983E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.54058073444463,41.030550602159146]}"
0000000000000000000b_0,Fortune 500 HQ,"378. Assurant, New York, NY, USA",1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
0000000000000000000c_0,Fortune 500 HQ,368. Alaska Air Group,5.915514217561968E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33706696781704,47.63316794043763]}"
0000000000000000000d_0,Fortune 500 HQ,"377. SpartanNash Company,  Byron Center, MI, USA",3.76775407045923E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.67682022289937,42.85413062892177]}"
0000000000000000000e_0,Fortune 500 HQ,"376. Darden Restaurants, Darden Center Drive, Orlando, FL, USA",3.605115527464724E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.40083947049044,28.391254554597477]}"
0000000000000000000f_0,Fortune 500 HQ,367. THOR INDUSTRIES,4.3503687894674694E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.9912305723412,41.65937130104281]}"
00000000000000000010_0,Fortune 500 HQ,"375. EMCOR Norwalk, Connecticut, USA",4.4467912425428384E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4148165946679,41.15631474193588]}"
00000000000000000011_0,Fortune 500 HQ,366. Masco Corp,5.224996439566948E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.3501836370298,42.35107406981484]}"
00000000000000000012_0,Fortune 500 HQ,"365. Caesars Entertainment, Caesars Palace Drive, Las Vegas, NV, USA",5.827448871041007E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.16851100054325,36.125749150866554]}"
00000000000000000013_0,Fortune 500 HQ,"399. JetBlue Airways Corporation, Queens Plaza North, Long Island City, NY, USA",8.747815628807685E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.91787315377482,40.77902232260568]}"
00000000000000000014_0,Fortune 500 HQ,"398. WEC Energy Group, West Michigan Street, Milwaukee, WI, USA",4.370542177808618E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.94057473888056,43.042776838586875]}"
00000000000000000015_0,Fortune 500 HQ,"397. W. R. Berkley Corporation, Steamboat Road, Greenwich, CT, USA",4.899376437683996E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.60346280433299,41.030550602159146]}"
00000000000000000016_0,Fortune 500 HQ,"396. EnLink Midstream, Routh Street, Dallas, TX, USA",5.0348112262864E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.80694659314024,32.792999446783135]}"
00000000000000000017_0,Fortune 500 HQ,"391. Anixter Glenview, Patriot Boulevard, Glenview, IL, USA",5.898166618091944E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.81481059910382,42.099545790261374]}"
00000000000000000018_0,Fortune 500 HQ,"395 Osh Kosh, Oshkosh, WI, USA",3.4314463358857994E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.56939543776421,44.048889956800735]}"
00000000000000000019_0,Fortune 500 HQ,"394. Builders FirstSource, Bryan Street, Dallas, TX, USA",5.0348112262864E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.80694659314024,32.792999446783135]}"
0000000000000000001a_0,Fortune 500 HQ,363. Ryder System,4.1248501277005455E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.20608014261147,25.750207619286083]}"
0000000000000000001b_0,Fortune 500 HQ,"393. Dean Foods Company, North Haskell Avenue, Dallas, TX, USA",5.0348112262864E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.80694659314024,32.792999446783135]}"
0000000000000000001c_0,Fortune 500 HQ,"392. PPL, Allentown, PA, USA",2.862830736844547E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.55280697087235,40.590376112940575]}"
