system:index,institution_type,name,no2,.geo
000000000000000001f3_0,Power Plant,Tower,1.6677434190261564E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.2934146853553,45.36941342445643]}"
000000000000000001f4_0,Power Plant,Caro,2.6493822860284182E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.3501836370298,43.48295132780544]}"
000000000000000001f5_0,Power Plant,Ubly,3.0770621887711356E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.91000914781124,43.73447960735891]}"
000000000000000001f6_0,Power Plant,George Johnson,2.329585536311859E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.4252919433459,43.860243747135634]}"
000000000000000001f7_0,Power Plant,Claude Vandyke,3.627561773559379E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.86546643256446,42.72836648914504]}"
000000000000000001f8_0,Power Plant,Vestaburg,2.9684156194851967E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.92223538423896,43.42006925791707]}"
000000000000000001f9_0,Power Plant,Syl Laskin,1.4832087472030422E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.15367342140111,47.507403800660896]}"
000000000000000001fa_0,Power Plant,Blanchard,2.7322724086267664E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.35454586749394,45.87246998356336]}"
000000000000000001fb_0,Power Plant,Clay Boswell,1.8206999573702816E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.66284309872191,47.25587552110743]}"
000000000000000001fc_0,Power Plant,Fond Du Lac,1.764349666723253E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.27943756117784,46.68993689211213]}"
000000000000000001fd_0,Power Plant,Knife Falls,2.2359595315596123E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.46808377084294,46.7528189620005]}"
000000000000000001fe_0,Power Plant,Little Falls (MN),2.3483073326008333E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.35454586749394,45.9982341233401]}"
000000000000000001ff_0,Power Plant,M L Hibbard,1.9391114955532582E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.15367342140111,46.7528189620005]}"
00000000000000000200_0,Power Plant,Pillager,1.850028350457075E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.48031000727067,46.31264447278193]}"
00000000000000000201_0,Power Plant,Scanlon,1.9737295933234028E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.40520170095458,46.68993689211213]}"
00000000000000000202_0,Power Plant,Sylvan,2.1598765795741695E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.35454586749394,46.31264447278193]}"
00000000000000000203_0,Power Plant,Thomson,1.825007409194312E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.34231963106622,46.62705482222376]}"
00000000000000000204_0,Power Plant,Winton,1.3004557182537174E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7763810020709,47.94757828987946]}"
00000000000000000205_0,Power Plant,Black Dog,4.233881031026612E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.22266860950334,44.803474795461135]}"
00000000000000000206_0,Power Plant,Hennepin Island,4.766322957067659E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.2855506793917,44.992121005126236]}"
00000000000000000207_0,Power Plant,High Bridge,4.2963647677743145E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.09690446972661,44.92923893523787]}"
00000000000000000208_0,Power Plant,Inver Hills,4.22279552311385E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.03402239983825,44.803474795461135]}"
00000000000000000209_0,Power Plant,Allen S King,3.014944196201509E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.78249412028478,45.055003075014604]}"
0000000000000000020a_0,Power Plant,Monticello Nuclear Facility,3.365491870168105E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.851489308387,45.306531354568065]}"
0000000000000000020b_0,Power Plant,Prairie Island,2.835062454562734E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.65672998050805,44.61482858579603]}"
