system:index,institution_type,name,no2,.geo
00000000000000003674_0,Sports Venue,1st Summit Arena,2.7114281965193556E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.94843874484414,40.33884783338711]}"
00000000000000003675_0,Sports Venue,3M Arena at Mariucci,4.6137324916755606E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.22266860950334,44.992121005126236]}"
00000000000000003676_0,Sports Venue,Abbotsford Centre,4.5267199660001E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.27418489792866,49.01657347798169]}"
00000000000000003677_0,Sports Venue,Acrisure Arena,3.486149092613776E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.36327032842222,33.799112564996996]}"
00000000000000003678_0,Sports Venue,Addition Financial Arena,3.889458204192822E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.21219326082534,28.579900764262575]}"
00000000000000003679_0,Sports Venue,Adirondack Bank Center,2.446872640658002E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.23839662143052,43.10565890847524]}"
0000000000000000367a_0,Sports Venue,Adventist Health Arena,4.681859352772992E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2680717797148,37.94932917762919]}"
0000000000000000367b_0,Sports Venue,A.E. Wood Coliseum,1.534562212711726E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33009339463848,32.352824957564565]}"
0000000000000000367c_0,Sports Venue,Agganis Arena,7.673807305835998E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.08818000879833,42.35107406981484]}"
0000000000000000367d_0,Sports Venue,Air Canada Centre,4.4397826572812476E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.38861323406272,43.67159753747054]}"
0000000000000000367e_0,Sports Venue,Alabama A&M Event Center,2.1951835331225113E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.55716920133649,34.80522568321086]}"
0000000000000000367f_0,Sports Venue,Alaska Airlines Arena,5.702674044273616E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.27418489792866,47.63316794043763]}"
00000000000000003680_0,Sports Venue,Alaska Airlines Center,2.4585154286422193E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.81653150903318,61.21569503632479]}"
00000000000000003681_0,Sports Venue,Alex G. Spanos Center,3.732431846862227E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.33095384960318,37.94932917762919]}"
00000000000000003682_0,Sports Venue,Alfond Arena,2.0361657560291204E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.69866135304041,44.92923893523787]}"
00000000000000003683_0,Sports Venue,Alico Arena,2.2673004702954448E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.77813188982064,26.441910388058115]}"
00000000000000003684_0,Sports Venue,Allen Arena,4.046160728362886E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.80869748088996,36.125749150866554]}"
