College Name,State,IPEDS ID,LAT,LON,CITY,ZIP
Williams College,MA,168342,42.712725,-73.203132,Williamstown,01267
Amherst College,MA,164465,42.372459,-72.518493,Amherst,01002-5000
United States Naval Academy,MD,164155,38.980507,-76.481692,Annapolis,21402-1300
Swarthmore College,PA,216287,39.905159,-75.354278,Swarthmore,19081
Bowdoin College,ME,161004,43.907134,-69.963942,Brunswick,04011
United States Air Force Academy,CO,128328,39.010957,-104.891358,USAF Academy,80840-5002
Pomona College,CA,121345,34.099027,-117.714556,Claremont,91711-4434
Wellesley College,MA,168218,42.291554,-71.306605,Wellesley,02481-8203
Claremont McKenna College,CA,112260,34.102154,-117.711188,Claremont,91711-6400
United States Military Academy,NY,197036,41.388988,-73.956772,West  Point,10996
Carleton College,MN,173258,44.462318,-93.154666,Northfield,55057
Harvey Mudd College,CA,115409,34.106515,-117.709837,Claremont,91711
Vassar College,NY,197133,41.686895,-73.895088,Poughkeepsie,12604
Barnard College,NY,189097,40.810098000000004,-73.963346,New York,10027-6598
Wesleyan University,CT,130697,41.554665,-72.657146,Middletown,06459
Davidson College,NC,198385,35.499767,-80.843979,Davidson,28035
Hamilton College,NY,191515,43.050245,-75.408195,Clinton,13323
Smith College,MA,167835,42.318111,-72.638097,Northampton,01063
Grinnell College,IA,153384,41.747952,-92.722094,Grinnell,50112-1690
Middlebury College,VT,230959,44.009117,-73.176068,Middlebury,05753
Washington and Lee University,VA,234207,37.788939,-79.443018,Lexington,24450-2116
Colgate University,NY,190099,42.819475,-75.536346,Hamilton,13346-1398
University of Richmond,VA,233374,37.577393,-77.538806,University of Richmond,23173
Haverford College,PA,212911,40.007452,-75.305207,Haverford,19041-1392
Colby College,ME,161086,44.564211,-69.66337,Waterville,04901-8840
Bates College,ME,160977,44.105299,-70.203333,Lewiston,04240
College of the Holy Cross,MA,166124,42.23752,-71.808214,Worcester,01610-2395
Macalester College,MN,173902,44.938565,-93.168053,Saint Paul,55105-1899
Mount Holyoke College,MA,166939,42.25489,-72.573916,South Hadley,01075-1489
Colorado College,CO,126678,38.84886,-104.822697,Colorado Springs,80903
Bryn Mawr College,PA,211273,40.02736,-75.313223,Bryn Mawr,19010
Bucknell University,PA,211291,40.954317,-76.882616,Lewisburg,17837
Lafayette College,PA,213385,40.69956,-75.209786,Easton,18042-1768
Denison University,OH,202523,40.071505,-82.523272,Granville,43023
Franklin and Marshall College,PA,212577,40.048045,-76.319037,Lancaster,17604-3003
Occidental College,CA,120254,34.127124,-118.210908,Los Angeles,90041-3392
Skidmore College,NY,195526,43.097035,-73.785335,Saratoga Springs,12866
Pitzer College,CA,121257,34.104107,-117.706675,Claremont,91711-6101
Trinity College,CT,130590,41.747451,-72.690882,Hartford,06106-3100
Spelman College,GA,141060,33.745279,-84.411527,Atlanta,30314-4399
Trinity University,TX,229267,29.462682,-98.48186,San Antonio,78212-7200
Scripps College,CA,123165,34.104147,-117.711294,Claremont,91711-3905
Soka University of America,CA,399911,33.554546,-117.735344,Aliso Viejo,92656-8081
Union College,NY,196866,42.818097,-73.928788,Schenectady,12308-2311
Berea College,KY,156295,37.57202,-84.292893,Berea,40404-2182
Kenyon College,OH,203535,40.374408,-82.397977,Gambier,43022
