Ref#,Property Name,State,County,City,Street & Number,Area of Significance,Category of Property,Other Names,Property ID,Address
80000681,Lyric Theatre,ALABAMA,Calhoun,Anniston,1302 Noble St.,ENTERTAINMENT/RECREATION,BUILDING,Ritz Theatre,80000681,"1302 Noble St., Anniston, ALABAMA"
74002262,Fort Payne Opera House,ALABAMA,De Kalb,Fort Payne,510 Gault Ave. N,SOCIAL HISTORY; PERFORMING ARTS,BUILDING,NA,74002262,"510 Gault Ave. N, Fort Payne, ALABAMA"
77000204,Dothan Opera House,ALABAMA,Houston,Dothan,103 N. St. Andrews St.,ARCHITECTURE,BUILDING,NA,77000204,"103 N. St. Andrews St., Dothan, ALABAMA"
79000386,Alabama Theatre,ALABAMA,Jefferson,Birmingham,"1811 3rd Ave., N",ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,79000386,"1811 3rd Ave., N, Birmingham, ALABAMA"
89000315,Downtown Birmingham Retail and Theatre Historic District,ALABAMA,Jefferson,Birmingham,"Roughly bounded by 3rd Ave. North, 20th St. North, Morris Ave., and 17th St. North",COMMERCE; ARCHITECTURE; ENTERTAINMENT/RECREATION,district,See Also:79000386;81000126;85000918;85002718;83002971,89000315,"Roughly bounded by 3rd Ave. North, 20th St. North, Morris Ave., and 17th St. North, Birmingham, ALABAMA"
98000709,Downtown Birmingham Retail and Theatre Historic District (Boundary Increase),ALABAMA,Jefferson,Birmingham,"1914, 1917, 1919, 1930 4th Ave.,N.",ARCHITECTURE,DISTRICT,See Also: Downtown Birmingham Retail and Theatre historic Di,98000709,"1914, 1917, 1919, 1930 4th Ave.,N., Birmingham, ALABAMA"
73000351,Auburn Players Theater,ALABAMA,Lee,Auburn,College Ave. at Thach St.,ART; RELIGION; PERFORMING ARTS,BUILDING,Presbyterian Church,73000351,"College Ave. at Thach St., Auburn, ALABAMA"
86000914,Cotaco Opera House,ALABAMA,Morgan,Decatur,115 Johnson St. SE,SOCIAL HISTORY,BUILDING,Masonic Building,86000914,"115 Johnson St. SE, Decatur, ALABAMA"
100012405,Princess Theatre,ALABAMA,Morgan,Decatur,112 2nd Avenue NE,ARCHITECTURE; ETHNIC HERITAGE-BLACK; ENTERTAINMENT/RECREATION,building,NA,100012405,"112 2nd Avenue NE, Decatur, ALABAMA"
88003243,Phillips Memorial Auditorium,ALABAMA,Perry,Marion,Lincoln Ave. and Lee St.,BLACK; EDUCATION; ARCHITECTURE,BUILDING,Lincoln Normal School,88003243,"Lincoln Ave. and Lee St., Marion, ALABAMA"
100009125,Federation of Southern Cooperatives Rural Training and Research Center,ALABAMA,Sumter,Epes,575 Federation Rd.,AGRICULTURE; ETHNIC HERITAGE-BLACK; SOCIAL HISTORY,district,The Training Center; RTRC,100009125,"575 Federation Rd., Epes, ALABAMA"
84000746,Bama Theatre-City Hall Building,ALABAMA,Tuscaloosa,Tuscaloosa,600 Greensboro Ave.,POLITICS/GOVERNMENT; ARCHITECTURE,BUILDING,Bama Theatre and Office Building,84000746,"600 Greensboro Ave., Tuscaloosa, ALABAMA"
05000457,"Foster Auditorium, The University of Alabama",ALABAMA,Tuscaloosa,Tuscaloosa,Sixth Avenue,NA,BUILDING,NA,05000457,"Sixth Avenue, Tuscaloosa, ALABAMA"
87000841,Adak Army Base and Adak Naval Operating Station,ALASKA,Aleutian Islands,Adak Station,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay",MILITARY,DISTRICT,Adak Naval Station (Naval Air Station Adak),87000841,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay, Adak Station, ALASKA"
85002733,"Dutch Harbor Naval Operating Base and Fort Mears, U.S. Army",ALASKA,Aleutian Islands,Unalaska,Amaknak Island,MILITARY,DISTRICT,NA,85002733,"Amaknak Island, Unalaska, ALASKA"
82001620,Fourth Avenue Theatre (AHRS Site No. ANC-284),ALASKA,Anchorage,Anchorage,630 W. 4th Ave.,ART; ENTERTAINMENT/RECREATION; ARCHITECTURE; COMMUNICATIONS,BUILDING,The Lathrop Building;Lathrop's Showhouse,82001620,"630 W. 4th Ave., Anchorage, ALASKA"
90000878,Lacey Street Theatre,ALASKA,Fairbanks North Star,Fairbanks,504 Second Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,AHRS Site No. FAI-207,90000878,"504 Second Ave., Fairbanks, ALASKA"
85002731,Kodiak Naval Operating Base and Forts Greely and Abercrombie,ALASKA,Kodiak Island,Kodiak,Address unknown,MILITARY,SITE,US Coast Guard Support Center and Fort Abercrombie State His,85002731,"Address unknown, Kodiak, ALASKA"
86003559,Sitka Naval Operating Base and US Army Coastal Defenses,ALASKA,Sitka,Sitka,Japonski Island,MILITARY,DISTRICT,Sitka;the Causeway;Mt. Edgecumbe School,86003559,"Japonski Island, Sitka, ALASKA"
10000888,Governor H. Rex Lee Auditorium,AMERICAN SAMOA,Western,Utulei,"Rte. 1, William McKinley Memorial HWY",PACIFIC-ISLANDER; POLITICS/GOVERNMENT; PERFORMING ARTS; ARCHITECTURE; SOCIAL HISTORY,BUILDING,Fale Laumei,10000888,"Rte. 1, William McKinley Memorial HWY, Utulei, AMERICAN SAMOA"
76000372,Grand Theatre,ARIZONA,Cochise,Douglas,1139--1149 G. Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,76000372,"1139--1149 G. Ave., Douglas, ARIZONA"
87001412,Grand Canyon Park Operations Building,ARIZONA,Coconino,Grand Canyon National Park,Off West Rim Dr.,ARCHITECTURE,BUILDING,Grand Canyon Ranger Office;See Also:Grand Canyon Village His,87001412,"Off West Rim Dr., Grand Canyon National Park, ARIZONA"
100003323,Celebrity Theatre,ARIZONA,Maricopa,Phoenix,440 N 32nd St.,ENGINEERING,building,HiwayHouse Convention Center; Phoenix Star Theatre,100003323,"440 N 32nd St., Phoenix, ARIZONA"
89000168,El Zaribah Shrine Auditorium,ARIZONA,Maricopa,Phoenix,1502 W. Washington St.,ARCHITECTURE; SOCIAL HISTORY,BUILDING,NA,89000168,"1502 W. Washington St., Phoenix, ARIZONA"
06000326,Glendale High School Auditorium,ARIZONA,Maricopa,Glendale,6216 W. Myrtle Ave.,COMMUNITY PLANNING AND DEVELOPMENT,BUILDING,NA,06000326,"6216 W. Myrtle Ave., Glendale, ARIZONA"
85002170,Grady Gammage Memorial Auditorium,ARIZONA,Maricopa,Tempe,NE Corner of Mill and Apache,ARCHITECTURE,BUILDING,#140,85002170,"NE Corner of Mill and Apache, Tempe, ARIZONA"
96000040,Laveen School Auditorium,ARIZONA,Maricopa,Laveen,5001 W. Dobbins Rd.,TRANSPORTATION,BUILDING,"Building A,Laveen School",96000040,"5001 W. Dobbins Rd., Laveen, ARIZONA"
85002067,Orpheum Theater,ARIZONA,Maricopa,Phoenix,209 W. Adams,COMMERCE; PERFORMING ARTS,BUILDING,37-19,85002067,"209 W. Adams, Phoenix, ARIZONA"
90000823,Webster Auditorium,ARIZONA,Maricopa,Phoenix,1201 N. Galvin Pkwy.,CONSERVATION; EDUCATION; SCIENCE,BUILDING,NA,90000823,"1201 N. Galvin Pkwy., Phoenix, ARIZONA"
03000905,Fox Theatre,ARIZONA,Pima,Tucson,17 W. Congress St.,ARCHITECTURE; COMMUNITY PLANNING AND DEVELOPMENT,BUILDING,NA,03000905,"17 W. Congress St., Tucson, ARIZONA"
03000909,Rialto Theatre,ARIZONA,Pima,Tucson,318 E. Congress St.,COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE,BUILDING,NA,03000909,"318 E. Congress St., Tucson, ARIZONA"
