"State","County","FIPS code","Year","Annual Change (%)","HPI","HPI with 1990 base","HPI with 2000 base"
"AL","Autauga","01001",2000,2.36,141.78,135.32,100
"AL","Autauga","01001",2001,3.49,146.72,140.04,103.49
"AL","Autauga","01001",2002,2.67,150.64,143.79,106.25
"AL","Autauga","01001",2003,1.84,153.42,146.43,108.21
"AL","Autauga","01001",2004,2.9,157.86,150.67,111.35
"AL","Autauga","01001",2005,7,168.91,161.22,119.14
"AL","Autauga","01001",2006,7.91,182.28,173.98,128.57
"AL","Autauga","01001",2007,4.4,190.29,181.63,134.22
"AL","Autauga","01001",2008,0.3,190.86,182.17,134.62
"AL","Autauga","01001",2009,-1.59,187.82,179.27,132.48
"AL","Autauga","01001",2010,-3.79,180.7,172.47,127.45
"AL","Autauga","01001",2011,-1.82,177.41,169.34,125.14
"AL","Autauga","01001",2012,-2.88,172.3,164.45,121.53
"AL","Autauga","01001",2013,0.34,172.88,165.01,121.94
"AL","Autauga","01001",2014,-0.07,172.76,164.9,121.86
"AL","Autauga","01001",2015,1.09,174.65,166.69,123.18
"AL","Autauga","01001",2016,2.43,178.88,170.74,126.17
"AL","Autauga","01001",2017,3.13,184.49,176.09,130.13
"AL","Autauga","01001",2018,0.05,184.58,176.17,130.19
"AL","Autauga","01001",2019,4.5,192.89,184.11,136.05
"AL","Autauga","01001",2020,0.4,193.66,184.85,136.6
"AL","Autauga","01001",2021,7.96,209.09,199.57,147.48
"AL","Autauga","01001",2022,14.72,239.86,228.94,169.19
"AL","Autauga","01001",2023,9.44,262.51,250.56,185.16
"AL","Autauga","01001",2024,6.83,280.45,267.68,197.81
"AL","Autauga","01001",2025,1.79,285.46,272.46,201.34
"AL","Baldwin","01003",2000,3.78,239.7,165.39,100
"AL","Baldwin","01003",2001,4.52,250.55,172.88,104.52
"AL","Baldwin","01003",2002,1.59,254.52,175.62,106.18
"AL","Baldwin","01003",2003,3.58,263.65,181.91,109.99
"AL","Baldwin","01003",2004,4.86,276.45,190.75,115.33
"AL","Baldwin","01003",2005,17.22,324.06,223.6,135.19
"AL","Baldwin","01003",2006,17.34,380.25,262.37,158.63
"AL","Baldwin","01003",2007,1.91,387.52,267.39,161.67
"AL","Baldwin","01003",2008,-4.08,371.72,256.48,155.07
"AL","Baldwin","01003",2009,-7.95,342.17,236.1,142.75
"AL","Baldwin","01003",2010,-12.2,300.43,207.29,125.33
"AL","Baldwin","01003",2011,-6.6,280.59,193.6,117.06
"AL","Baldwin","01003",2012,0.31,281.45,194.2,117.41
"AL","Baldwin","01003",2013,1.46,285.55,197.03,119.12
"AL","Baldwin","01003",2014,8.31,309.26,213.39,129.02
