STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GAL,GALMS,POSTMS,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB
AK,AK0001,002,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,00,00,00,-151.8400068,59.7796042,02,122,03110,57477,43,8,3014,0200,0,0,house,STD,NND,72551 MILO FRITZ AVENUE,ANCHOR POINT,99556,M,KENAI PENINSULA,9072355692,CE,NO,1287,R_14,0,R_14,1377,R_14,51,R_14,2015
AK,AK0002,007,AK0002-007,CHUGIAK/EAGLE RIVER NEIGHBORHOOD LIBRARY,00,00,00,-149.572216,61.328973,02,020,03000,301010,31,2.01,2021,0200,11260,0,addresspoint,STD,NND,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,7743,ANCHORAGE,9073431530,BR,CC,17888,R_14,0,R_14,2028,R_14,52,R_14,2015
AK,AK0002,008,AK0002-008,MULDOON NEIGHBORHOOD LIBRARY,00,00,00,-149.733371,61.210605,02,020,03000,301010,11,7.03,5012,0200,11260,0,addresspoint,STD,NND,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2070,ANCHORAGE,9073434223,BR,CC,8232,R_14,0,R_14,1768,R_14,52,R_14,2015
AK,AK0002,010,AK0002-010,SCOTT AND WESLEY GERRISH NEIGHBORHOOD LIBRARY,00,00,00,-149.126406,60.971814,02,020,03000,301010,42,29,2039,0200,11260,0,postalcode-main,NCF,POC,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,CC,3938,R_14,0,R_14,1716,R_14,52,R_14,2015
AK,AK0002,011,AK0002-011,Z. J. LOUSSAC LIBRARY,00,00,00,-149.876781,61.187677,02,020,03000,301010,11,19,3002,0200,11260,0,addresspoint,STD,NND,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432975,CE,CC,140000,R_14,0,R_14,3328,R_14,52,R_14,2015
AK,AK0002,012,AK0002-012,MOUNTAIN VIEW NEIGHBORHOOD LIBRARY,00,00,00,-149.8085248,61.2237619,02,020,03000,301010,11,9.01,2000,0200,11260,0,house,STD,NND,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432818,BR,CC,10704,R_14,0,R_14,1768,R_14,52,R_14,2015
AK,AK0003,002,AK0003-002,ANDERSON VILLAGE LIBRARY,00,00,00,-149.1786346,64.3435982,02,068,03220,1921,43,1,1011,0200,0,0,house,STD,NND,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,NO,3041,R_14,0,R_14,480,R_14,48,R_14,2015
AK,AK0006,002,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,00,00,00,-161.8029566,60.7857552,02,050,06520,17868,33,2,2011,0200,0,0,street,DGL,POC,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,NO,3656,R_14,0,R_14,2912,R_14,52,R_14,2015
AK,AK0007,002,AK0007-002,BIG LAKE PUBLIC LIBRARY,00,00,00,-149.818403,61.546612,02,170,07070,97882,42,5.02,1004,0200,11260,0,addresspoint,STD,NND,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,M,MATANUSKA-SUSITNA,9078926475,CE,NO,6940,R_14,0,R_14,2548,R_14,52,R_14,2015
AK,AK0008,002,AK0008-002,CANTWELL COMMUNITY LIBRARY,00,00,00,-148.757407,63.461051,02,068,10150,1921,43,1,2369,0200,0,0,postalcode-main,NCF,POC,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9077682372,CE,NO,1363,R_14,0,R_14,750,R_14,48,R_14,2015
