STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,ADDRTYPE,MSTATUS,SCORE
AK,AK0001,002,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,M,KENAI PENINSULA,9072355692,CE,NO,2880,R_15,0,R_15,1377,R_15,51,R_15,2016,00,00,07,-151.831591,59.779667,02,122,03110,58059,43,8,3009,0200,0,M,PointAddress,E,100
AK,AK0002,007,AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,M,ANCHORAGE,9073431530,BR,CC,25452,R_15,0,R_15,2028,R_15,52,R_15,2016,00,06,00,-149.571522,61.329532,02,020,03000,298695,31,2.01,2000,0200,11260,0,PointAddress,E,100
AK,AK0002,008,AK0002-008,MULDOON LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2070,ANCHORAGE,9073434223,BR,CC,8204,R_15,0,R_15,1768,R_15,52,R_15,2016,00,06,00,-149.733384,61.210659,02,020,03000,298695,11,7.03,5012,0200,11260,0,PointAddress,E,100
AK,AK0002,010,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,CC,3938,R_15,0,R_15,1716,R_15,52,R_15,2016,00,06,00,-149.134877,60.960253,02,020,03000,298695,42,29,2050,0200,11260,0,PointAddress,E,100
AK,AK0002,011,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432892,CE,CC,140000,R_15,0,R_15,3328,R_15,52,R_15,2016,00,00,00,-149.876735,61.187512,02,020,03000,298695,11,19,3002,0200,11260,0,PointAddress,E,100
AK,AK0002,012,AK0002-012,MOUNTAIN VIEW LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432819,BR,CC,10704,R_15,0,R_15,1768,R_15,52,R_15,2016,00,06,00,-149.808605,61.223601,02,020,03000,298695,11,9.01,2000,0200,11260,0,StreetAddress,T,92.421875
AK,AK0003,002,AK0003-002,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,NO,3041,R_15,0,R_15,460,R_15,46,R_15,2016,00,00,00,-149.174471,64.343714,02,068,03220,1919,43,1,1011,0200,0,M,StreetAddress,E,92.421875
AK,AK0006,002,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,NO,3656,R_15,0,R_15,2880,R_15,52,R_15,2016,00,00,00,-161.771006,60.791148,02,050,06520,17946,33,2,2004,0200,0,M,StreetAddress,E,98.640625
AK,AK0007,002,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,M,MATANUSKA-SUSITNA,9078617635,CE,NO,6940,R_15,0,R_15,2652,R_15,52,R_15,2016,00,00,00,-149.818642,61.547268,02,170,07070,101095,42,5.02,1004,0200,11260,0,StreetAddress,E,92.078125
AK,AK0008,002,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9047682372,CE,NO,1363,R_15,0,R_15,720,R_15,48,R_15,2016,00,00,00,-148.792318,63.638156,02,068,46560,1919,43,1,2248,0200,0,M,Postal,E,100
