STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GAL,GALMS,POSTMS
AK,AK0001,002,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,72551 MILO FRITZ AVENUE,ANCHOR POINT,99556,M,KENAI PENINSULA,9072355692,CE,NO,1287,R_13,0,R_13,1404,R_13,52,R_13,2014,00,00,15,-151.8400068,59.7796042,02,122,03110,57067,43,8.00,3014,0200,0,0,house,STD,NND
AK,AK0002,007,AK0002-007,CHUGIAK/EAGLE RIVER NEIGHBORHOOD LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,7743,ANCHORAGE,9073431530,BR,CC,17888,R_13,0,R_13,2028,R_13,52,R_13,2014,00,00,00,-149.5722160,61.3289730,02,020,03000,301629,31,2.01,2021,0200,11260,0,addresspoint,STD,NND
AK,AK0002,008,AK0002-008,MULDOON NEIGHBORHOOD LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2070,ANCHORAGE,9073434223,BR,CC,8232,R_13,0,R_13,1768,R_13,52,R_13,2014,00,00,00,-149.7333710,61.2106050,02,020,03000,301629,11,7.03,5012,0200,11260,0,addresspoint,STD,NND
AK,AK0002,010,AK0002-010,SCOTT AND WESLEY GERRISH NEIGHBORHOOD LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,CC,3938,R_13,0,R_13,1716,R_13,52,R_13,2014,00,00,00,-149.1264060,60.9718140,02,020,03000,301629,42,29.00,2039,0200,11260,0,postalcode-main,NCF,POC
AK,AK0002,011,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432975,CE,CC,140000,R_13,0,R_13,3328,R_13,52,R_13,2014,00,00,00,-149.8767810,61.1876770,02,020,03000,301629,11,19.00,3002,0200,11260,0,addresspoint,STD,NND
AK,AK0002,012,AK0002-012,MOUNTAIN VIEW NEIGHBORHOOD LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432818,BR,CC,10704,R_13,0,R_13,1768,R_13,52,R_13,2014,00,00,00,-149.8085248,61.2237619,02,020,03000,301629,11,9.01,2000,0200,11260,0,house,STD,NND
AK,AK0003,002,AK0003-002,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,NO,3041,R_13,0,R_13,600,R_13,50,R_13,2014,00,00,00,-149.1786346,64.3435982,02,068,03220,1933,43,1.00,1011,0200,0,0,house,STD,NND
AK,AK0006,002,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,NO,3656,R_13,0,R_13,2652,R_13,52,R_13,2014,00,00,15,-161.8029566,60.7857552,02,050,06520,17806,33,2.00,2011,0200,0,0,street,DGL,POC
AK,AK0007,002,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,M,MATANUSKA-SUSITNA,9078926475,CE,NO,6940,R_13,0,R_13,2548,R_13,52,R_13,2014,00,00,00,-149.8184030,61.5466120,02,170,07070,95892,42,5.02,1004,0200,11260,0,addresspoint,STD,NND
AK,AK0008,002,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9077682372,CE,NO,1363,R_13,0,R_13,750,R_13,48,R_13,2014,00,00,00,-148.7574070,63.4610510,02,068,10150,1933,43,1.00,2369,0200,0,0,postalcode-main,NCF,POC
AK,AK0011,002,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,9074863022,CE,NO,1000,R_13,0,R_13,480,R_13,48,R_13,2014,00,00,00,-152.2325806,57.6122291,02,150,13860,14115,43,1.00,3123,0200,0,0,street,DGL,POC
AK,AK0014,002,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,CE,NO,1100,R_13,0,R_13,500,R_13,48,R_13,2014,00,00,15,-162.7133916,55.2066340,02,013,16530,3351,43,1.00,1260,0200,0,0,street,DGL,POC
AK,AK0015,002,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,CE,NO,1320,R_13,0,R_13,1092,R_13,52,R_13,2014,00,00,00,-150.0105190,60.4874010,02,122,00000,57067,43,4.00,1001,0200,0,0,postalcode-main,NCF,POC
AK,AK0016,002,AK0016-002,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,M,VALDEZ-CORDOVA,9074246667,CE,NO,2800,R_13,0,R_13,2444,R_13,52,R_13,2014,00,00,00,-145.7660310,60.5479952,02,261,17410,9770,43,2.00,2000,0200,0,0,house,STD,NND
AK,AK0017,003,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,M,PR WALES-OUTER KE,9078263281,CE,NO,1800,R_13,0,R_13,2256,R_13,52,R_13,2014,00,00,00,-133.1514564,55.4761261,02,198,17740,6402,43,2.00,3046,0200,0,0,house,STD,NND
AK,AK0019,002,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,M,SE FAIRBANK,9078954102,CE,NO,5000,R_13,0,R_13,2600,R_13,52,R_13,2014,00,00,00,-145.7334852,64.0465711,02,240,18620,6969,43,4.00,2034,0200,0,0,house,STD,NND
AK,AK0020,002,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,M,DILLINGHAM,9078425610,CE,NO,2430,R_13,0,R_13,1988,R_13,52,R_13,2014,00,00,00,-158.4667361,59.0402542,02,070,18950,4988,43,2.00,2002,0200,0,0,house,ADV,NND
AK,AK0021,002,AK0021-002,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,99738,M,SE FAIRBANK,9075472334,CE,NO,1500,R_13,0,R_13,713,R_13,51,R_13,2014,00,00,00,-141.2015180,64.7866190,02,240,20380,6969,43,1.00,1192,0200,0,0,postalcode-main,NCF,POC
AK,AK0023,002,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,CE,NO,62100,R_13,0,R_13,3224,R_13,52,R_13,2014,00,00,00,-147.7386170,64.8383180,02,090,24230,100807,13,1.00,2027,0200,21820,0,addresspoint,STD,NND
AK,AK0023,003,AK0023-003,NORTH POLE BRANCH LIBRARY,601 SNOWMAN LANE,NORTH POLE,99705,7716,FAIRBANKS NORTH STAR,9074886101,BR,NO,4200,R_13,0,R_13,2080,R_13,52,R_13,2014,00,00,00,-147.3507110,64.7491820,02,090,55910,100807,23,16.00,3054,0200,21820,0,addresspoint,STD,NND
AK,AK0023,004,AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591031,BS,NO,-3,U_13,1,R_13,1820,R_13,52,R_13,2014,00,00,00,-147.7386170,64.8383180,02,090,24230,100807,13,1.00,2027,0200,21820,0,addresspoint,STD,NND
AK,AK0025,002,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,99741,M,YUKON-KOYUKUK,9076561883,CE,NO,1500,R_13,0,R_13,750,R_13,48,R_13,2014,00,00,00,-156.8723252,64.7480237,02,290,27530,5654,43,3.00,2040,0200,0,0,house,ADV,NND
AK,AK0027,002,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,M,VALDEZ-CORDOVA,9078225427,CE,NO,2000,R_13,0,R_13,1508,R_13,51,R_13,2014,00,00,00,-146.0503330,62.1984120,02,261,00000,9770,43,1.00,2000,0200,0,0,postalcode-main,NCF,POC
AK,AK0028,002,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,M,SKAGWAY-ANGOON,9076972350,CE,NO,3052,R_13,0,R_13,1248,R_13,51,R_13,2014,00,00,00,-135.7267090,58.4130833,02,105,30940,2134,43,3.00,1324,0200,0,0,house,STD,NND
AK,AK0029,002,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,M,HAINES,9077662545,CE,NO,8400,R_13,0,R_13,3016,R_13,52,R_13,2014,00,00,00,-135.4480632,59.2328440,02,100,31050,2569,43,1.00,3013,0200,0,0,street,DGL,POC
AK,AK0030,002,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,M,DENALI,9076832507,CE,NO,4560,R_13,0,R_13,1120,R_13,51,R_13,2014,00,00,00,-149.0170333,63.8734912,02,068,32150,1933,43,1.00,2118,0200,0,0,street,DGL,POC
AK,AK0031,002,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,M,PR WALES-OUTER KE,9075307112,CE,NO,2300,R_13,0,R_13,1050,R_13,48,R_13,2014,00,00,00,-133.0759070,55.7818810,02,198,00000,6402,43,1.00,1217,0200,0,0,postalcode-main,NCF,POC
AK,AK0032,002,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,CE,NO,17000,R_13,0,R_13,2917,R_13,52,R_13,2014,00,00,00,-151.5442990,59.6405020,02,122,33140,57067,43,10.00,1036,0200,0,0,postalcode-sub,PCR,POC
AK,AK0033,002,AK0033-002,HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,M,KENAI PENINSULA,9077823121,CE,NO,2304,R_13,0,R_13,1188,R_13,52,R_13,2014,00,00,00,-149.4450940,60.1094170,02,122,68560,57067,43,13.00,2045,0200,0,0,street,DGL,POC
AK,AK0035,002,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,NO,8000,R_13,0,R_13,1872,R_13,52,R_13,2014,00,00,00,-134.3953370,58.2768620,02,110,36400,32626,33,6.00,3017,0200,27940,1,addresspoint,STD,NND
AK,AK0035,003,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,"9105 MENDENHALL MALL ROAD, #134",JUNEAU,99801,7156,JUNEAU,9077890125,BR,NO,9391,R_13,0,R_13,3224,R_13,52,R_13,2014,00,00,00,-134.5846906,58.3717703,02,110,36400,32626,33,2.00,5022,0200,27940,1,house,STD,NND
