page,museum_name_card,href,museum_url,source_page,category,museum_name,street_address,state,country,full_address,website_link,latitude,longitude,has_website,basic_intro,theme,family_friendly,outdoor_related,science_related,art_related,history_related,transportation_related,military_related,ticket_link,visit_link,has_ticket_link,has_visit_link,scraped_visit_link,scraped_ticket_link,hours_text,admission_text,accessibility_text
1,"4.9
Fort Stevens State Park
 Warrenton, OR
History & Anthropology History",/museum/fort-stevens-state-park-warrenton-13187,https://whichmuseum.com/museum/fort-stevens-state-park-warrenton-13187,https://whichmuseum.com/place/united-states-2682,History & Anthropology,Fort Stevens State Park,Peter Iredale Road 1675,Oregon,United States,"Peter Iredale Road 1675, Oregon, United States",https://stateparks.oregon.gov/index.cfm?do=park.profile&parkId=129,46.1799755,-123.9701172,TRUE,"Fort Stevens State Park is a History & Anthropology museum located in Oregon, United States.",History,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,/index.cfm?do=reserve.cabins-yurts,/index.cfm?do=visit.find,TRUE,TRUE,NA,NA,NA,NA,NA
1,"4.8
Fruitlands Museum - The Trustees of Reservations
 Harvard, MA
History & Anthropology HistoryArt & Design Art",/museum/fruitlands-museum-the-trustees-of-reservations-harvard-13845,https://whichmuseum.com/museum/fruitlands-museum-the-trustees-of-reservations-harvard-13845,https://whichmuseum.com/place/united-states-2682,History & Anthropology,Fruitlands Museum - The Trustees of Reservations,Prospect Hill Road 102,Massachusetts,United States,"Prospect Hill Road 102, Massachusetts, United States",https://thetrustees.org/place/fruitlands-museum/,42.5055706,-71.6128298,TRUE,"Fruitlands Museum - The Trustees of Reservations is a History & Anthropology museum located in Massachusetts, United States.",History,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,https://thetrustees.org/trustees-of-reservations-jobs/,https://thetrustees.org/places/,TRUE,TRUE,NA,NA,NA,NA,NA
1,"4.9 Online discount!
National September 11 Memorial & Museum
 New York, NY
Specialized & Alternative Specialized",/museum/national-september-11-memorial-museum-new-york-9273,https://whichmuseum.com/museum/national-september-11-memorial-museum-new-york-9273,https://whichmuseum.com/place/united-states-2682,Specialized & Alternative,National September 11 Memorial & Museum,Greenwich Street 180,New York,United States,"Greenwich Street 180, New York, United States",https://www.911memorial.org/,40.7113675,-74.0132704,TRUE,"National September 11 Memorial & Museum is a Specialized & Alternative museum located in New York, United States.",Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/visit/visit-museum-1,/visit/visit-museum-1,TRUE,TRUE,NA,NA,NA,NA,NA
1,"4.7
Empire State Building
 New York, NY
Specialized & Alternative Specialized",/museum/empire-state-building-new-york-21191,https://whichmuseum.com/museum/empire-state-building-new-york-21191,https://whichmuseum.com/place/united-states-2682,Specialized & Alternative,Empire State Building,20 West 34th Street,New York,United States,"20 West 34th Street, New York, United States",https://www.esbnyc.com/,40.7486538,-73.9853043,TRUE,"Empire State Building is a Specialized & Alternative museum located in New York, United States.",Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/buy-tickets,https://www.esbnyc.com/visit/observatories-exhibits,TRUE,TRUE,NA,NA,NA,NA,NA
1,"4.7
National Museum of American History
 Washington D.C., DC
History & Anthropology History",/museum/national-museum-of-american-history-washington-d-c-9202,https://whichmuseum.com/museum/national-museum-of-american-history-washington-d-c-9202,https://whichmuseum.com/place/united-states-2682,History & Anthropology,National Museum of American History,1400 Constitution Ave. NW,Washington DC,United States,"1400 Constitution Ave. NW, Washington DC, United States",http://americanhistory.si.edu/,38.891067,-77.032704,TRUE,"National Museum of American History is a History & Anthropology museum located in Washington DC, United States.",History,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA
1,"4.7
San Diego Zoo Safari Park
 San Diego, CA
Nature & Natural History Nature",/museum/san-diego-zoo-safari-park-21187,https://whichmuseum.com/museum/san-diego-zoo-safari-park-21187,https://whichmuseum.com/place/united-states-2682,Nature & Natural History,San Diego Zoo Safari Park,",San Pasqual Valley Road",California,United States,",San Pasqual Valley Road, California, United States",https://sandiegozoowildlifealliance.org/,33.0946885,-116.9584152,TRUE,"San Diego Zoo Safari Park is a Nature & Natural History museum located in California, United States.",Nature,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,https://zoo.sandiegozoo.org/tickets,https://zoo.sandiegozoo.org,TRUE,TRUE,NA,NA,NA,NA,NA
1,"4.7
Ellis Island National Museum of Immigration
 Jersey City, NJ
History & Anthropology HistorySpecialized & Alternative Specialized",/museum/ellis-island-national-museum-of-immigration-jersey-city-11544,https://whichmuseum.com/museum/ellis-island-national-museum-of-immigration-jersey-city-11544,https://whichmuseum.com/place/united-states-2682,History & Anthropology,Ellis Island National Museum of Immigration,Ellis Island Bridge,New Jersey,United States,"Ellis Island Bridge, New Jersey, United States",https://www.nps.gov/elis/index.htm,40.7014779,-74.0431943,TRUE,"Ellis Island National Museum of Immigration is a History & Anthropology museum located in New Jersey, United States.",History,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,/elis/planyourvisit/fees.htm,/elis/planyourvisit/basicinfo.htm,TRUE,TRUE,NA,NA,NA,NA,NA
1,"4.7
The Dalí Museum
 Saint Petersburg, FL",/museum/the-dali-museum-saint-petersburg-48477,https://whichmuseum.com/museum/the-dali-museum-saint-petersburg-48477,https://whichmuseum.com/place/united-states-2682,Unknown,The Dalí Museum,1 Dali Blvd,Florida,United States,"1 Dali Blvd, Florida, United States",https://thedali.org/,27.7659874,-82.6314611,TRUE,"The Dalí Museum is a Unknown museum located in Florida, United States.",Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://thedali.org/visit/buy-tickets/,https://thedali.org/visit/buy-tickets/,TRUE,TRUE,NA,NA,NA,NA,NA
1,"4.6
Milwaukee County Zoo
 Milwaukee, WI
Nature & Natural History Nature",/museum/milwaukee-county-zoo-9546,https://whichmuseum.com/museum/milwaukee-county-zoo-9546,https://whichmuseum.com/place/united-states-2682,Nature & Natural History,Milwaukee County Zoo,W. Bluemound Rd. Milwaukee,Wisconsin,United States,"W. Bluemound Rd. Milwaukee, Wisconsin, United States",http://www.milwaukeezoo.org,43.0368252,-87.9758944,TRUE,"Milwaukee County Zoo is a Nature & Natural History museum located in Wisconsin, United States.",Nature,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,https://milwaukeezoo.org/visit/tickets,https://milwaukeezoo.org/visit/,TRUE,TRUE,NA,NA,NA,NA,NA
1,"5.0
National Museum of African American History and Culture
 Washington D.C., DC
History & Anthropology History",/museum/national-museum-of-african-american-history-and-culture-washington-d-c-9209,https://whichmuseum.com/museum/national-museum-of-african-american-history-and-culture-washington-d-c-9209,https://whichmuseum.com/place/united-states-2682,History & Anthropology,National Museum of African American History and Culture,Constitution Avenue Northwest 1400,Washington DC,United States,"Constitution Avenue Northwest 1400, Washington DC, United States",http://nmaahc.si.edu/,38.891067,-77.032704,TRUE,"National Museum of African American History and Culture is a History & Anthropology museum located in Washington DC, United States.",History,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA
