Database,"Source ID",Year,"Outlet ID",Title,"Outlet Type",State,City,County,"Ethnic Media","SPA Full Member","Owner ID","Owner Name","Owner Type",Website,Frequency,"Total Circulation","Days Published","Average Paid Circulation","Average Free Circulation","Circulation Source","EP Audit Source","Type of Station",Group,AM/FM,"Original Content Station"
Newspaper,NP5154-2004,2004,NP5154,"1590 Broadcaster",,"New Hampshire","Greater Nashua",Hillsborough,No,No,OW0012,"MediaNews Group",Private,,W,67930,1,,,,,,,,
Digital,DG0217-2020,2020,DG0217,"40 South News",Local,Missouri,Brentwood,"St. Louis County",No,,,,"Online News Organization",,,,,,,,,,,,
Digital,DG0216-2020,2020,DG0216,"70 West Sentinel",Local,Missouri,Josephville,"St. Charles County",No,,,,"Online News Organization",,,,,,,,,,,,
Digital,DG0251-2020,2020,DG0251,70and73,Local,"New Jersey",Marlton,"Burlington County",No,,,,"Online News Organization",,,,,,,,,,,,
Digital,DG0096-2020,2020,DG0096,"83 Degrees",Local,Florida,Tampa,"Hillsborough County",No,,,,"Online News Organization",,,,,,,,,,,,
Newspaper,NP0032-2004,2004,NP0032,"Abbeville Herald",,Alabama,Abbeville,Henry,No,Yes,OW0022,"Dodd Edward J",,,W,2100,1,,,,,,,,
Newspaper,NP0032-2014,2014,NP0032,"Abbeville Herald",,Alabama,Abbeville,Henry,No,Yes,OW0022,"Dodd Edward J",,,W,2031,1,,,,,,,,
Newspaper,NP0032-2016,2016,NP0032,"Abbeville Herald",,Alabama,Abbeville,Henry,No,Yes,OW0022,"Dodd Edward J",,,W,2350,1,,,,,,,,
Newspaper,NP0032-2018,2018,NP0032,"Abbeville Herald",,Alabama,Abbeville,Henry,No,Yes,OW0022,"Dodd Edward J",Private,,W,2350,1,2350,,EP,Sworn/Estimate/Non-Audited,,,,
Newspaper,NP0032-2020,2020,NP0032,"Abbeville Herald",,Alabama,Abbeville,Henry,No,No,OW0022,"Dodd Edward J",Private,,W,2350,1,,,,,,,,
Newspaper,NP3080-2004,2004,NP3080,"Abbeville Meridional",,Louisiana,Abbeville,"Vermilion Parish",No,No,OW1446,"Moody Company",Private,,D,5500,7,,,,,,,,
Newspaper,NP3080-2014,2014,NP3080,"Abbeville Meridional",,Louisiana,Abbeville,"Vermilion Parish",No,No,OW1446,"Moody Company",,,D,6200,5,,,,,,,,
Newspaper,NP3080-2016,2016,NP3080,"Abbeville Meridional",,Louisiana,Abbeville,"Vermilion Parish",No,No,OW1446,"Moody Company",,,D,5379,5,,,,,,,,
Newspaper,NP3080-2018,2018,NP3080,"Abbeville Meridional",,Louisiana,Abbeville,"Vermilion Parish",No,No,OW1446,"Moody Company",Private,,D,5379,5,5379,,EP,Sworn/Estimate/Non-Audited,,,,
Newspaper,NP3080-2020,2020,NP3080,"Abbeville Meridional",,Louisiana,Abbeville,"Vermilion Parish",No,No,OW1446,"Moody Company",Private,,D,5379,5,,,,,,,,
Newspaper,NP7091-2004,2004,NP7091,"Aberdeen American News",,"South Dakota",Aberdeen,Brown,No,Yes,OW0200,"Knight Ridder",Public,,D,16506,7,,,,,,,,
Newspaper,NP7091-2014,2014,NP7091,"Aberdeen American News",,"South Dakota",Aberdeen,Brown,No,Yes,OW0283,"Schurz Communications Inc",,,D,15000,7,,,,,,,,
Newspaper,NP7091-2016,2016,NP7091,"Aberdeen American News",,"South Dakota",Aberdeen,Brown,No,Yes,OW0283,"Schurz Communications Inc",,,D,11524,7,,,,,,,,
Newspaper,NP7091-2018,2018,NP7091,"Aberdeen American News",,"South Dakota",Aberdeen,Brown,No,Yes,OW0283,"Schurz Communications Inc",,,D,11524,7,11485,39,EP,CAC,,,,
Newspaper,NP7091-2020,2020,NP7091,"Aberdeen American News",,"South Dakota",Aberdeen,Brown,No,No,OW5094,Gannett/Gatehouse,Investment,,D,11524,7,,,,,,,,
Newspaper,NP1882-2004,2004,NP1882,"Aberdeen Times",,Idaho,Aberdeen,Bingham,No,Yes,OW0888,"Crompton Publishing Inc",,,W,1020,1,,,,,,,,
Newspaper,NP1882-2014,2014,NP1882,"Aberdeen Times",,Idaho,Aberdeen,Bingham,No,Yes,OW0888,"Crompton Publishing Inc",,,W,908,1,,,,,,,,
Newspaper,NP1882-2016,2016,NP1882,"Aberdeen Times",,Idaho,Aberdeen,Bingham,No,Yes,OW0888,"Crompton Publishing Inc",,,W,930,1,,,,,,,,
Newspaper,NP1882-2018,2018,NP1882,"Aberdeen Times",,Idaho,Aberdeen,Bingham,No,Yes,OW0888,"Crompton Publishing Inc",Private,,W,930,1,,,,,,,,
Newspaper,NP1882-2020,2020,NP1882,"Aberdeen Times",,Idaho,Aberdeen,Bingham,No,No,OW0888,"Crompton Publishing Inc",Private,,W,930,1,,,,,,,,
Newspaper,NP4506-2004,2004,NP4506,"Abereen Examiner",,Mississippi,Aberdeen,Monroe,No,No,OW2066,"Bunch, Beth",,,W,5100,1,,,,,,,,
Newspaper,NP2721-2004,2004,NP2721,"Abilene Reflector-Chronicle",,Kansas,Abilene,Dickinson,No,No,OW0047,"Cleveland Newspapers Inc",,,D,3700,6,,,,,,,,
Newspaper,NP2721-2014,2014,NP2721,"Abilene Reflector-Chronicle",,Kansas,Abilene,Dickinson,No,No,OW2041,"News-Press & Gazette Company",,,D,3457,7,,,,,,,,
Newspaper,NP2721-2016,2016,NP2721,"Abilene Reflector-Chronicle",,Kansas,Abilene,Dickinson,No,No,OW2041,"News-Press & Gazette Company",,,D,3293,7,,,,,,,,
Newspaper,NP2721-2018,2018,NP2721,"Abilene Reflector-Chronicle",,Kansas,Abilene,Dickinson,No,No,OW5036,"White Corporation",Private,,D,8335,5,3935,4400,EP,Sworn/Estimate/Non-Audited,,,,
Newspaper,NP2721-2020,2020,NP2721,"Abilene Reflector-Chronicle",,Kansas,Abilene,Dickinson,No,No,OW5036,"White Corporation",Private,,D,8335,5,,,,,,,,
Newspaper,NP7381-2004,2004,NP7381,"Abilene Reporter-News",,Texas,Abilene,Taylor,No,Yes,OW0349,"EW Scripps",Public,,D,32627,7,,,,,,,,
Newspaper,NP7381-2014,2014,NP7381,"Abilene Reporter-News",,Texas,Abilene,Taylor,No,Yes,OW3350,"Scripps Media",Public,,D,22000,7,,,,,,,,
Newspaper,NP7381-2016,2016,NP7381,"Abilene Reporter-News",,Texas,Abilene,Taylor,No,No,OW0071,Gannett,Public,,D,15850,7,,,,,,,,
Newspaper,NP7381-2018,2018,NP7381,"Abilene Reporter-News",,Texas,Abilene,Taylor,No,Yes,OW0071,Gannett,Public,,D,15850,7,15460,390,EP,AAM,,,,
Newspaper,NP7381-2020,2020,NP7381,"Abilene Reporter-News",,Texas,Abilene,Taylor,No,No,OW5094,Gannett/Gatehouse,Public,,D,15850,7,,,,,,,,
Newspaper,NP1941-2004,2004,NP1941,"Abingdon Argus-Sentinel",,Illinois,Abingdon,Knox,No,No,OW0121,"Emmerich Enterprises",,,W,1400,2,,,,,,,,
Newspaper,NP1941-2014,2014,NP1941,"Abingdon Argus-Sentinel",,Illinois,Abingdon,Knox,No,No,OW0618,"New Media/GateHouse",Investment,,W,1025,1,,,,,,,,
Newspaper,NP1941-2016,2016,NP1941,"Abingdon Argus-Sentinel",,Illinois,Abingdon,Knox,No,No,OW0618,"New Media/GateHouse",Investment,,W,1141,1,,,,,,,,
Newspaper,NP1941-2018,2018,NP1941,"Abingdon Argus-Sentinel",,Illinois,Abingdon,Knox,No,No,OW0618,"New Media/GateHouse",Investment,,W,1141,1,,,Unknown,,,,,
Newspaper,NP1941-2020,2020,NP1941,"Abingdon Argus-Sentinel",,Illinois,Abingdon,Knox,No,No,OW5094,Gannett/Gatehouse,Investment,,W,1141,1,,,,,,,,
Newspaper,NP8054-2004,2004,NP8054,"Abingdon Virginian",,Virginia,Abingdon,Washington,No,No,OW3652,"Abingdon Virginian Inc",,,W,5600,1,,,,,,,,
