latitude,longitude,name,type,popup
33.656194,-83.718567,Georgia Manufacturing Plant,EV Facility,"<strong>Georgia Manufacturing Plant</strong><br/>Rivian<br/>Social Circle, GA<br/>Light-Duty (Class 1-2)"
41.235151,-85.856639,Truck Manufacturing Facility,EV Facility,"<strong>Truck Manufacturing Facility</strong><br/>Slate Auto<br/>Warsaw, IN<br/>Light-Duty (Class 1-2)"
30.264979,-97.746598,Gigafactory 5,EV Facility,"<strong>Gigafactory 5</strong><br/>Tesla<br/>Austin, TX<br/>Multiple Classes"
38.25752,-84.547617,Toyota Motor Manufacturing Kentucky,EV Facility,"<strong>Toyota Motor Manufacturing Kentucky</strong><br/>Toyota<br/>Georgetown, KY<br/>Light-Duty (Class 1-2)"
35.622969,-79.076953,Chatham County Facility,EV Facility,"<strong>Chatham County Facility</strong><br/>VinFast<br/>Moncure, NC<br/>Multiple Classes"
40.326752,-82.817043,East Liberty Auto Plant,EV Facility,"<strong>East Liberty Auto Plant</strong><br/>Honda<br/>East Liberty, OH<br/>Light-Duty (Class 1-2)"
40.2767,-83.507149,Marysville Auto Plant,EV Facility,"<strong>Marysville Auto Plant</strong><br/>Honda<br/>Marysville, OH<br/>Light-Duty (Class 1-2)"
34.215166,-80.973608,Blythewood Facility,EV Facility,"<strong>Blythewood Facility</strong><br/>Scout Motors<br/>Columbia, SC<br/>Light-Duty (Class 1-2)"
34.215166,-80.973608,Blythewood Facility,EV Facility,"<strong>Blythewood Facility</strong><br/>Scout Motors<br/>Columbia, SC<br/>Light-Duty (Class 1-2)"
31.851066,-106.63205,Santa Teresa Facility,EV Facility,"<strong>Santa Teresa Facility</strong><br/>GreenPower Motors<br/>Santa Teresa, NM<br/>Medium-Duty (Class 3-6)"
35.464095,-89.402431000000007,BlueOval Tennessee Truck Plant,EV Facility,"<strong>BlueOval Tennessee Truck Plant</strong><br/>Ford<br/>Stanton, TN<br/>Light-Duty (Class 1-2)"
41.487954,-82.075419,Ford Ohio Assembly Plant,EV Facility,"<strong>Ford Ohio Assembly Plant</strong><br/>Ford<br/>Sheffield, OH<br/>Medium-Duty (Class 3-6)"
36.327726,-119.645914,FF ieFactory California,EV Facility,"<strong>FF ieFactory California</strong><br/>Faraday Future<br/>Hanford, CA<br/>Light-Duty (Class 1-2)"
42.459791,-83.18197,Oak Park Factory,EV Facility,"<strong>Oak Park Factory</strong><br/>Bollinger Motors<br/>Oak Park, MI<br/>Multiple Classes"
33.1660368,-117.3379272,Aptera San Diego Manufacturing Facility,EV Facility,"<strong>Aptera San Diego Manufacturing Facility</strong><br/>Aptera<br/>Carlsbad, CA<br/>Light-Duty (Class 1-2)"
42.378363,-83.04687,Factory ZERO Detroit-Hamtramck Assembly Center,EV Facility,"<strong>Factory ZERO Detroit-Hamtramck Assembly Center</strong><br/>General Motors<br/>Detroit, MI<br/>Light-Duty (Class 1-2)"
39.540664,-119.439341,Gigafactory Nevada,EV Facility,"<strong>Gigafactory Nevada</strong><br/>Tesla<br/>Sparks, NV<br/>Heavy-Duty (Class 7-8)"
42.455747,-83.041027,Warren Truck Assembly Plant,EV Facility,"<strong>Warren Truck Assembly Plant</strong><br/>Stellantis<br/>Warren, MI<br/>Light-Duty (Class 1-2)"
32.6138758,-90.0349356,Canton Factory,EV Facility,"<strong>Canton Factory</strong><br/>Nissan<br/>Canton, MS<br/>Light-Duty (Class 1-2)"
32.0806102,-81.0900966,Metaplant Manufacturing Joint Venture (JV),EV Facility,"<strong>Metaplant Manufacturing Joint Venture (JV)</strong><br/>Hyundai<br/>Savannah, GA<br/>Multiple Classes"
34.215166,-80.973608,Blythewood Facility,EV Facility,"<strong>Blythewood Facility</strong><br/>Scout Motors<br/>Columbia, SC<br/>Light-Duty (Class 1-2)"
38.154537,-85.728374,Louisville Assembly Plant,EV Facility,"<strong>Louisville Assembly Plant</strong><br/>Ford<br/>Louisville, KY<br/>Light-Duty (Class 1-2)"
40.518091,-88.995074,Normal Factory,EV Facility,"<strong>Normal Factory</strong><br/>Rivian<br/>Normal, IL<br/>Multiple Classes"
