ref_number,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,other_names,property_id,district_name,address,latitude,longitude,aos_agriculture,aos_archeology,aos_architecture,aos_community_planning_and_development,aos_conservation,aos_landscape_architecture,aos_social_history,aos_european,aos_archeology_prehistoric,aos_ethnic_heritage_native_american,aos_exploration_settlement,aos_entertainment_recreation,aos_transportation,aos_historic_non_aboriginal,aos_art,aos_black,aos_commerce,aos_military,aos_education,aos_politics_government,aos_industry,aos_engineering,aos_religion,aos_historic_aboriginal,aos_prehistoric,aos_economics,aos_ethnic_heritage_black,aos_other,aos_ethnic_heritage_european,aos_ethnic_heritage_other_ethnic,aos_ethnic_heritage,aos_literature,aos_maritime_history,aos_native_american,aos_science,aos_invention,aos_law,aos_communications,aos_archeology_historic_non_aboriginal,aos_performing_arts,aos_hispanic,aos_archeology_historic_aboriginal,aos_health_medicine,aos_asian,aos_other_ethnic,aos_ethnic_heritage_hispanic,aos_philosophy,aos_ethnic_heritage_asian,aos_pacific_islander,aos_na
84000596,Daniel Pratt Historic District,Alabama,Autauga,Prattville,"Roughly bounded by Northington Rd., 1st, 6th, Bridge, and Court Sts.",Listed,Single,FALSE,140,Industry; Architecture; Social History,District,https://catalog.archives.gov/id/77835702,FALSE,TRUE,FALSE,FALSE,1984-08-30,NA,84000596,Daniel Pratt,"Daniel Pratt Historic District, Prattville, Alabama",32.45994850642,-86.475430501846,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88000107,Battles Wharf Historic District,Alabama,Baldwin,Battles Wharf,"US 98, Eastern Shore Blvd. roughly between Woolworth Ave. and Buerger La.",Listed,Single,FALSE,34,Entertainment/Recreation; Architecture,District,https://catalog.archives.gov/id/77835727,FALSE,FALSE,TRUE,FALSE,1988-04-28,NA,88000107,Battles Wharf,"Battles Wharf Historic District, Battles Wharf, Alabama",30.49366,-87.92734,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88000520,Brodbeck-Zundel Historic District,Alabama,Baldwin,Point Clear,US 98 Scenic Route and Old Marlow Rd.,Listed,Single,FALSE,4.6,Architecture,District,https://catalog.archives.gov/id/77835719,FALSE,FALSE,TRUE,FALSE,1988-04-28,NA,88000520,Brodbeck-Zundel,"Brodbeck-Zundel Historic District, Point Clear, Alabama",30.47421,-87.91886,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04000115,Fairhope Downtown Historic District,Alabama,Baldwin,Fairhope,"Roughly bounded by Equality St., Fairhope Ave., Morphy Ave., School St., Summit St.",Listed,Add.doc.,FALSE,100,Social History; Architecture,District,NA,TRUE,FALSE,FALSE,FALSE,2006-03-16,NA,04000115,Fairhope Downtown,"Fairhope Downtown Historic District, Fairhope, Alabama",30.525020649901,-87.901289755433,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100003122,Foley Downtown Historic District,Alabama,Baldwin,Foley,"Parts of N&S Alston, N & S McKenzie, Laurel & Pine Sts., W Myrtle, E  & W Rose, W. Orange &  W Jessamine Aves.",Listed,Resubmission,FALSE,104,Commerce; Architecture,District,NA,FALSE,FALSE,TRUE,FALSE,2019-09-20,NA,04001496,Foley Downtown,"Foley Downtown Historic District, Foley, Alabama",30.4064010039,-87.687202034372,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001046,Magnolia Springs Historic District,Alabama,Baldwin,Magnolia Springs,"Roughly along Oak, Spring, Bay, Jessamine, Magnolia, Pine & Rock Sts., Island, Cedar & Holly Aves. & Magnolia Spgs. Hyw.",Listed,Single,FALSE,163,Entertainment/Recreation,District,https://catalog.archives.gov/id/77835740,FALSE,FALSE,TRUE,FALSE,2012-01-27,NA,11001046,Magnolia Springs,"Magnolia Springs Historic District, Magnolia Springs, Alabama",30.396866253762,-87.776732620679,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76000310,Montrose Historic District,Alabama,Baldwin,Montrose,Main (AL 42) and 2nd Sts.,Listed,Single,FALSE,79,Architecture,District,https://catalog.archives.gov/id/77835717,FALSE,TRUE,FALSE,FALSE,1976-06-03,See Also:Creole and Gulf Coast Cottages in Baldwin County TR,76000310,Montrose,"Montrose Historic District, Montrose, Alabama",30.59789313531,-87.910990243336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88000515,Point Clear Historic District,Alabama,Baldwin,Point Clear,W side of US 98/Eastern Shore Blvd.,Listed,Single,FALSE,68,Entertainment/Recreation; Architecture,District,https://catalog.archives.gov/id/77835725,FALSE,FALSE,TRUE,FALSE,1988-04-28,NA,88000515,Point Clear,"Point Clear Historic District, Point Clear, Alabama",30.48026,-87.92749,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88001009,White Avenue Historic District,Alabama,Baldwin,Fairhope,White Ave.,Listed,Multiple,FALSE,5,Economics; Entertainment/Recreation; Exploration/Settlement; Architecture; Philosophy,District,https://catalog.archives.gov/id/77834823,FALSE,FALSE,TRUE,FALSE,1988-07-01,NA,88001009,White Avenue,"White Avenue Historic District, Fairhope, Alabama",30.51717,-87.903,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73000330,Lore Historic District,Alabama,Barbour,Eufaula,"Bounded by Eufaula Ave., and Browder, Livingston, and Barbour Sts.",Listed,Single,FALSE,395,Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835781,FALSE,TRUE,FALSE,FALSE,1973-12-12,See Also:82001990;71000093;72000156;72000154;71000095;720001,73000330,Lore,"Lore Historic District, Eufaula, Alabama",31.891555894116,-85.140754703964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
