series_id,year,period,area_type_code,area_code,measure_code,seasonal,srd_code,area_text,measure_text,NAMELSAD,STUSPS,unemployment_percent
LAUCN010010000000003,1990,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,6.5
LAUCN010010000000003,1991,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,6.7
LAUCN010010000000003,1992,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,6.5
LAUCN010010000000003,1993,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,5.9
LAUCN010010000000003,1994,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,5
LAUCN010010000000003,1995,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,5.6
LAUCN010010000000003,1996,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,3.9
LAUCN010010000000003,1997,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,3.9
LAUCN010010000000003,1998,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,3.2
LAUCN010010000000003,1999,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,3.8
LAUCN010010000000003,2000,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,4.1
LAUCN010010000000003,2001,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,4.1
LAUCN010010000000003,2002,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,4.8
LAUCN010010000000003,2003,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,5
LAUCN010010000000003,2004,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,4.7
LAUCN010010000000003,2005,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,3.8
LAUCN010010000000003,2006,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,3.3
LAUCN010010000000003,2007,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,3.4
LAUCN010010000000003,2008,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,5.4
LAUCN010010000000003,2009,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,8.6
LAUCN010010000000003,2010,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,8.8
LAUCN010010000000003,2011,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,8.3
LAUCN010010000000003,2012,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,7.1
LAUCN010010000000003,2013,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,6.3
LAUCN010010000000003,2014,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,5.8
LAUCN010010000000003,2015,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,5.2
LAUCN010010000000003,2016,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,5.1
LAUCN010010000000003,2017,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,4
LAUCN010010000000003,2018,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,3.6
LAUCN010010000000003,2019,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,2.9
LAUCN010010000000003,2020,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,5.3
LAUCN010010000000003,2021,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,2.8
LAUCN010010000000003,2022,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,2.2
LAUCN010010000000003,2023,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,2.1
LAUCN010010000000003,2024,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,2.6
LAUCN010010000000003,2025,M13,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate,Autauga County,AL,2.4
LAUCN010030000000003,1990,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,5.3
LAUCN010030000000003,1991,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,5.5
LAUCN010030000000003,1992,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,6.2
LAUCN010030000000003,1993,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,6
LAUCN010030000000003,1994,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,4.8
LAUCN010030000000003,1995,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,4.7
LAUCN010030000000003,1996,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,4.4
LAUCN010030000000003,1997,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,3.5
LAUCN010030000000003,1998,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,2.8
LAUCN010030000000003,1999,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,3.3
LAUCN010030000000003,2000,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,3.7
LAUCN010030000000003,2001,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,4.3
LAUCN010030000000003,2002,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,5
LAUCN010030000000003,2003,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,4.9
LAUCN010030000000003,2004,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,5.1
LAUCN010030000000003,2005,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,4
LAUCN010030000000003,2006,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,3.2
LAUCN010030000000003,2007,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,3.2
LAUCN010030000000003,2008,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,4.8
LAUCN010030000000003,2009,M13,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate,Baldwin County,AL,8.6
