name,institution_type,impervious_surface
363. Voya,Fortune 500 HQ,99
64. Adobe,Fortune 500 HQ,87
"53. Walt Disney, Burbank, CA, USA",Fortune 500 HQ,88
360. Glenworth Financial,Fortune 500 HQ,90
"374. Expeditors, 3rd Avenue, Seattle, WA, USA",Fortune 500 HQ,94
"373. Dana Incorporated, Longbow Drive, Maumee, OH, USA",Fortune 500 HQ,91
"372. Jefferies Financial Group, Madison Avenue, New York, NY, USA",Fortune 500 HQ,81
"370. Wesco International Inc, West Station Square Drive, Pittsburgh, PA, USA",Fortune 500 HQ,97
"371. Huntington Ingalls Industries, Washington Avenue, Newport News, VA, USA",Fortune 500 HQ,88
369. Amphenol,Fortune 500 HQ,84
"379. United Rentals,Stamford, CT, USA",Fortune 500 HQ,99
"378. Assurant, New York, NY, USA",Fortune 500 HQ,100
368. Alaska Air Group,Fortune 500 HQ,81
"377. SpartanNash Company,  Byron Center, MI, USA",Fortune 500 HQ,91
"376. Darden Restaurants, Darden Center Drive, Orlando, FL, USA",Fortune 500 HQ,96
367. THOR INDUSTRIES,Fortune 500 HQ,68
"375. EMCOR Norwalk, Connecticut, USA",Fortune 500 HQ,74
366. Masco Corp,Fortune 500 HQ,74
"365. Caesars Entertainment, Caesars Palace Drive, Las Vegas, NV, USA",Fortune 500 HQ,92
"399. JetBlue Airways Corporation, Queens Plaza North, Long Island City, NY, USA",Fortune 500 HQ,100
"398. WEC Energy Group, West Michigan Street, Milwaukee, WI, USA",Fortune 500 HQ,96
"397. W. R. Berkley Corporation, Steamboat Road, Greenwich, CT, USA",Fortune 500 HQ,90
"396. EnLink Midstream, Routh Street, Dallas, TX, USA",Fortune 500 HQ,84
"391. Anixter Glenview, Patriot Boulevard, Glenview, IL, USA",Fortune 500 HQ,70
"395 Osh Kosh, Oshkosh, WI, USA",Fortune 500 HQ,68
"394. Builders FirstSource, Bryan Street, Dallas, TX, USA",Fortune 500 HQ,81
363. Ryder System,Fortune 500 HQ,94
"393. Dean Foods Company, North Haskell Avenue, Dallas, TX, USA",Fortune 500 HQ,81
"392. PPL, Allentown, PA, USA",Fortune 500 HQ,72
362. Yum China Holdings,Fortune 500 HQ,87
"391. Hershey, PA, USA",Fortune 500 HQ,87
"390. Alliance Data Systems, Plano, TX, USA",Fortune 500 HQ,87
"389. Berry Global, Oakley Street, Evansville, IN, USA",Fortune 500 HQ,83
361. Fidelity National Information Services,Fortune 500 HQ,81
"388. Tractor Supply Company  Brentwood, TN, USA",Fortune 500 HQ,95
"387. Zimmer Biomet Warsaw, IN, USA",Fortune 500 HQ,93
"386. Conagra Brands, Chicago, IL, USA",Fortune 500 HQ,96
"385. Foot Locker, Broadway, New York, NY, USA",Fortune 500 HQ,100
359. Dick’s Sporting Goods,Fortune 500 HQ,92
"384. Fifth Third Bank, OH, USA",Fortune 500 HQ,90
"358. Eversource, Station Drive, Westwood, MA, USA",Fortune 500 HQ,89
"383. Cheniere Energy Inc, Milam Street, Houston, TX, USA",Fortune 500 HQ,86
"357. National Oilwell Varco, Cypress Creek Road, Cedar Park, TX, USA",Fortune 500 HQ,94
"382. Auto-Owners Insurance, Anacapri Drive, Lansing, MI, USA",Fortune 500 HQ,94
"381. Erie Insurance Arena, French Street, Erie, PA, USA",Fortune 500 HQ,83
356. Jones Financial (Edward Jones),Fortune 500 HQ,83
"380. Liberty Media Corporation, Liberty Boulevard, Englewood, CO, USA",Fortune 500 HQ,43
355. Frontier Communications,Fortune 500 HQ,86
"500. Levi's Store, San Francisco, CA, USA",Fortune 500 HQ,100
"354. J.B. Hunt Transport Services, Inc., J B Hunt Corporate Drive, Lowell, AR, USA",Fortune 500 HQ,71
"499. Peabody Energy, St. Louis, MO, USA",Fortune 500 HQ,95
"498. Western Union,Denver, CO, USA",Fortune 500 HQ,85
353. UNIVAR,Fortune 500 HQ,93
352. WESTLAKE CHEMICAL,Fortune 500 HQ,89
351. Thrivent Financial for Lutherans,Fortune 500 HQ,99
350. Rockwell Collins,Fortune 500 HQ,85
"349. Campbell Soup Company, Campbell Place, Camden, NJ, USA",Fortune 500 HQ,69
348. WILLIAMS,Fortune 500 HQ,95
"347. Veritiv Corporation, Governors Lake Parkway, Norcross, GA, USA",Fortune 500 HQ,0
346. GameStop,Fortune 500 HQ,96
"497. Navient, Wilmington, DE, USA",Fortune 500 HQ,97
"496. Simon Property Group, East Washington Street, Indianapolis, IN, USA",Fortune 500 HQ,84
"495. Williams-Sonoma, Post Street, San Francisco, CA, USA",Fortune 500 HQ,91
"494. Yum Brands, Louisville, KY, USA",Fortune 500 HQ,94
"493. Windstream Holdings Little Rock, AR, USA",Fortune 500 HQ,59
345. Hilton Worldwide Holdings,Fortune 500 HQ,88
"492. Harley-Davidson Museum, West Canal Street, Milwaukee, WI, USA",Fortune 500 HQ,91
"491. First American Financial, Santa Ana, CA, USA",Fortune 500 HQ,85
344. Air Products & Chemicals,Fortune 500 HQ,94
"489. TreeHouse Foods, Inc., Spring Road, Oak Brook, IL, USA",Fortune 500 HQ,61
"488. Fiserv, Inc., Fiserv Drive, Brookfield, WI, USA",Fortune 500 HQ,76
"487. Zoetis Inc., Sylvan Way, Parsippany, New Jersey, USA",Fortune 500 HQ,81
342. Brighthouse Financial,Fortune 500 HQ,85
"486. Ingredion, Westchester, IL, USA",Fortune 500 HQ,93
"485. ON Semiconductor, Phoenix, AZ, USA",Fortune 500 HQ,88
NA,Fortune 500 HQ,99
"484. Tapestry, New York, NY, USA",Fortune 500 HQ,99
340. Peter Kiewit Sons’,Fortune 500 HQ,98
"483. NetApp, Sunnyvale, CA, USA",Fortune 500 HQ,75
"482. Intuit, Mountain View, CA, USA",Fortune 500 HQ,86
"481. Old Republic International Corporation, Michigan Avenue, Chicago, IL, USA",Fortune 500 HQ,94
"480. Graphic Packaging International, Atlanta, GA, USA",Fortune 500 HQ,99
"338. AVIS, Parsippany, NJ, USA",Fortune 500 HQ,74
"337. Vistra/TXU Energy Corporate Office, Sierra Drive, Irving, TX, USA",Fortune 500 HQ,82
"479. Hd Supply Holdings Inc,  Atlanta, GA, USA",Fortune 500 HQ,74
"478. Realogy Holdings Corp., Park Avenue, Madison, NJ, USA",Fortune 500 HQ,100
"477. Clorox Co, Broadway, Oakland, CA, USA",Fortune 500 HQ,89
"476. Polaris Industries Inc, Highway 55, Medina, MN, USA",Fortune 500 HQ,99
"475. Booz Allen Hamilton Inc, , McLean, VA, USA",Fortune 500 HQ,92
"474. L3Harris Technologies: Communication Systems-West, 2200 West, Salt Lake City, UT, USA",Fortune 500 HQ,90
"473. Ralph Lauren New York, NY, USA",Fortune 500 HQ,68
"472. Analog Devices, Technology Way, Norwood, MA, USA",Fortune 500 HQ,100
"471. Post Holdings Inc, South Hanley Road, St. Louis, MO, USA",Fortune 500 HQ,94
"470. S and P Global, New York, NY, USA",Fortune 500 HQ,100
"469. Intercontinental Exchange, New Northside Drive, Atlanta, GA, USA",Fortune 500 HQ,80
"478. Ameren Corporation,  St. Louis, MO, USA",Fortune 500 HQ,92
"467. Franklin Templeton Investments, San Mateo, CA, USA",Fortune 500 HQ,87
"166. iHeartMedia San Antonio, San Antonio, TX, USA",Fortune 500 HQ,100
"465. NCR Global, Atlanta, GA, USA",Fortune 500 HQ,100
"464. Beacon Roofing Supply Inc, Huntmar Park Drive, Herndon, VA, USA",Fortune 500 HQ,72
"463. ABM Industries, New York, NY, USA",Fortune 500 HQ,99
"336. Mutual of Omaha® Insurance Co., Dodge Street, Omaha, NE, USA",Fortune 500 HQ,98
"462. M&T Bank Buffalo, NY, USA",Fortune 500 HQ,52
"461. HESS New York, NY, USA",Fortune 500 HQ,99
"460. Advanced Micro Devices, Augustine Drive, Santa Clara, CA, USA",Fortune 500 HQ,95
335. AGCO,Fortune 500 HQ,88
"459. Cintas Center, Herald Avenue, Cincinnati, OH, USA",Fortune 500 HQ,100
"458. Dillard's, Little Rock AR, USA",Fortune 500 HQ,100
334. COTY,Fortune 500 HQ,99
"457. Ascena Retail Group Inc (ASNA),Mahwah, NJ, USA",Fortune 500 HQ,99
"333. Pioneer Natural Resources Company, North O'Connor Boulevard, Irving, TX, USA",Fortune 500 HQ,100
"456. Marathon Oil, Houston, TX, USA",Fortune 500 HQ,100
332. First Data,Fortune 500 HQ,99
"455. Seaboard Corporation Shawnee Mission, KS, USA",Fortune 500 HQ,89
331. Hertz Global Holdings,Fortune 500 HQ,0
"454. Chemours, Wilmington, DE, USA",Fortune 500 HQ,100
"453. Northern Trust, Chicago, IL, USA",Fortune 500 HQ,95
330. Calpine,Fortune 500 HQ,89
"452. Rockwell Automation, Inc., Milwaukee, WI, USA",Fortune 500 HQ,92
"329. O'Reilly Auto Parts Distribution Center, West Broadway Avenue, Minneapolis, MN, USA",Fortune 500 HQ,95
"45. Burlington Stores, Burlington, NJ, USA",Fortune 500 HQ,66
328. Hormel Foods,Fortune 500 HQ,95
327. Altice USA,Fortune 500 HQ,95
"450. Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA",Fortune 500 HQ,82
"449. Ulta Beauty, Bolingbrook, IL, USA",Fortune 500 HQ,87
326. Advance Auto Parts,Fortune 500 HQ,49
"448. Wynn Resorts,  Las Vegas, NV, USA",Fortune 500 HQ,89
"447. Regions Financial, Birmingham, AL, USA",Fortune 500 HQ,62
325. Mosaic,Fortune 500 HQ,78
"446. Wayfair, Boston, MA, USA",Fortune 500 HQ,95
"445. RR Donnelley and Sons, Chicago, IL, USA",Fortune 500 HQ,96
324. PVH,Fortune 500 HQ,99
"444. Hanesbrands, Winston-Salem, NC, USA",Fortune 500 HQ,81
"323. Public Service Enterprise Group, Park Place, Newark, NJ, USA",Fortune 500 HQ,84
"443. AK Steel Holding, West Chester, OH, USA",Fortune 500 HQ,0
"322. Interpublic Group of Companies, Third Avenue, New York, NY, USA",Fortune 500 HQ,99
"442, Blackstone Group LP New York, NY, USA",Fortune 500 HQ,92
"441. Markel Corporation, Glen Allen, VA, USA",Fortune 500 HQ,92
"321. Autoliv Americas, Pacific Drive, Auburn Hills, MI, USA",Fortune 500 HQ,96
"440. CMS Energy, Jackson, MI, USA",Fortune 500 HQ,100
"439. Asbury Automotive Group, Premiere Duluth, GA, USA",Fortune 500 HQ,72
"320. DCP Midstream Partners LP, 17th Street, Denver, CO, USA",Fortune 500 HQ,97
"438. Owens-Illinois, Perrysburg, OH, USA",Fortune 500 HQ,95
"437. Alleghany Corporation, Broadway, New York, NY, USA",Fortune 500 HQ,95
"319. Boston Scientific Corporation, Boston Scientific Way, Marlborough, MA, USA",Fortune 500 HQ,85
"436. MasTec Network Solutions,  Gables, FL, USA",Fortune 500 HQ,83
318. Xerox,Fortune 500 HQ,86
"435. Arthur Gallagher Rolling Meadows, IL, USA",Fortune 500 HQ,93
"434. Olin Corporation,Clayton, MO, USA",Fortune 500 HQ,100
317. Owens & Minor,Fortune 500 HQ,37
"433. Travelcenters of America, Westlake, Ohio, USA",Fortune 500 HQ,2
"316. Sonic Automotive, Colwick Road, Charlotte, NC, USA",Fortune 500 HQ,78
"432. Packaging Corp of America, Lake Forest, IL, USA",Fortune 500 HQ,42
315. Mohawk Industries,Fortune 500 HQ,90
"431. Owens Corning, Toledo, OH, USA",Fortune 500 HQ,88
314. Republic Services,Fortune 500 HQ,89
"430. Insight Enterprises, Inc., Tempe, AZ, USA",Fortune 500 HQ,98
"429. Sanmina Corporation, San Jose, CA, USA",Fortune 500 HQ,99
"428. Toll Brothers, Horsham, PA, USA",Fortune 500 HQ,34
313. Eastman Chemical,Fortune 500 HQ,85
"427. American Financial Group, Cincinnati, OH, USA",Fortune 500 HQ,92
312. PulteGroup,Fortune 500 HQ,94
"426. Celanese Corporation,  Irving, TX, USA",Fortune 500 HQ,96
"425. Avery Dennison, Glendale, CA, USA",Fortune 500 HQ,92
311. Leidos Holdings,Fortune 500 HQ,90
"424. NVR Inc, Reston, VA, USA",Fortune 500 HQ,94
"423. Graybar Electric Supply, St. Louis, MO, USA",Fortune 500 HQ,91
"422. Everett, WA, USA",Fortune 500 HQ,97
"421. Western & Southern Financial Group Findlay, OH, USA",Fortune 500 HQ,89
"420. Spirit Aerosystems Holdings, Wichita, KS, USA",Fortune 500 HQ,84
"419. Newmont Goldcorp, Greenwood Village, CO, USA",Fortune 500 HQ,0
"418. American Axle and Manufacturing, Detroit, MI, USA",Fortune 500 HQ,87
"417. Magellan Health, Scottsdale, AZ, USA",Fortune 500 HQ,98
"416. Motorola Solutions Inc, Chicago, IL, USA",Fortune 500 HQ,98
"415. Citizens Financial Group, Providence, RI, USA",Fortune 500 HQ,95
"414. J M Smucker Co Store & Cafe,  Orville, OH, USA",Fortune 500 HQ,82
"413. Keycorp, Cleveland, OH, USA",Fortune 500 HQ,80
"412. Dover Corporation, IL, USA",Fortune 500 HQ,78
"411. Apache Corp, Houston, TX, USA",Fortune 500 HQ,100
"410. American Tower Corporation, Boston, MA, USA",Fortune 500 HQ,95
"409. Keurig Dr Pepper, Inc., Burlington, MA, USA",Fortune 500 HQ,75
"408. Casey's General Stores Inc, IA, USA",Fortune 500 HQ,61
"407. Raymond James Financial, St. Petersburg, FL, USA",Fortune 500 HQ,85
"406. Weyerhaeuser Company Seattle, WA, USA",Fortune 500 HQ,84
"405. Activision Blizzard, Santa Monica, CA, USA",Fortune 500 HQ,94
"404. Quest Diagnostics Corporate, Secaucus, NJ, USA",Fortune 500 HQ,93
"403. Constellation Brands Inc, High Point Drive, Victor, NY, USA",Fortune 500 HQ,91
"402. Fidelity National Financial, Inc.,, Riverside Avenue, Jacksonville, FL, USA",Fortune 500 HQ,87
"401. A-Mark Previous Metals El Segundo, CA, USA",Fortune 500 HQ,94
"400. UGI Corporation, North Gulph Road, King of Prussia, PA, USA",Fortune 500 HQ,78
310. United Natural Foods,Fortune 500 HQ,100
309. Chesapeake Energy,Fortune 500 HQ,96
308. Navistar International,Fortune 500 HQ,87
307. Delek US Holdings,Fortune 500 HQ,71
306. American Family Insurance Group,Fortune 500 HQ,89
305. IQVIA Holdings,Fortune 500 HQ,83
304. SunTrust Banks,Fortune 500 HQ,94
303. Ally Financial,Fortune 500 HQ,87
302. Targa Resources,Fortune 500 HQ,89
"301. BorgWarner Propulsion Technical Center, Automation Avenue, Auburn Hills, MI, USA",Fortune 500 HQ,99
"300. Silver Spring, MD, USA",Fortune 500 HQ,90
"299. CenterPoint Energy Plaza, Louisiana Street, Houston, TX, USA",Fortune 500 HQ,100
"298. Pacific Life Insurance Co, Newport Center Drive, Newport Beach, CA, USA",Fortune 500 HQ,96
297. DEVON ENERGY,Fortune 500 HQ,96
296. AES,Fortune 500 HQ,92
295. EBAY,Fortune 500 HQ,87
294. Molson Coors Brewing,Fortune 500 HQ,50
293. Universal Health Services,Fortune 500 HQ,0
292. Live Nation Entertainment,Fortune 500 HQ,72
291. NRG Energy,Fortune 500 HQ,1
"290. L3 Technologies, Third Avenue, New York, NY, USA",Fortune 500 HQ,86
"289. Charles Schwab, Main Street, San Francisco, CA, USA",Fortune 500 HQ,100
288. Entergy,Fortune 500 HQ,67
287. Lam Research,Fortune 500 HQ,85
286. Baxter International,Fortune 500 HQ,49
285. Office Depot,Fortune 500 HQ,89
284. Crown Holdings,Fortune 500 HQ,6
283. Quanta Service,Fortune 500 HQ,89
282. W.W. Grainger,Fortune 500 HQ,42
281. AutoZone,Fortune 500 HQ,81
280. Expedia Group,Fortune 500 HQ,85
279. Corning,Fortune 500 HQ,81
278. Laboratory Corp. of America,Fortune 500 HQ,73
277. Norfolk Southern,Fortune 500 HQ,35
"276. Huntsman LLC, Woodloch Forest Drive, The Woodlands, TX, USA",Fortune 500 HQ,92
"275. Reliance Steel & Aluminum Co, South Grand Avenue, Los Angeles, CA, USA",Fortune 500 HQ,66
"274. Xcel Energy, Nicollet Mall, Minneapolis, MN, USA",Fortune 500 HQ,91
273. Unum Group,Fortune 500 HQ,85
"272. Group 1 Automotive, Gessner Road, Houston, TX, USA",Fortune 500 HQ,74
271. BALL,Fortune 500 HQ,81
270. Farmers Insurance Exchange,Fortune 500 HQ,52
269. Sempra Energy,Fortune 500 HQ,93
268. Nvidia,Fortune 500 HQ,40
267. Tenneco,Fortune 500 HQ,42
"266. MGM Resorts International Career Center, Grier Drive, Las Vegas, NV, USA",Fortune 500 HQ,88
265. Lithia Motors,Fortune 500 HQ,91
264. Steel Dynamics,Fortune 500 HQ,94
"263. FirstEnergy Corp., South Main Street, Akron, OH, USA",Fortune 500 HQ,96
262. LKQ,Fortune 500 HQ,96
261. J.C. Penney,Fortune 500 HQ,87
"260. CSX Corporation, Water Street, Jacksonville, FL, USA",Fortune 500 HQ,90
"259. Consolidated Edison Inc, East 16th Street, New York, NY, USA",Fortune 500 HQ,100
"258. Bed Bath & Beyond, Broadway, New York, NY, USA",Fortune 500 HQ,95
257. Murphy USA,Fortune 500 HQ,83
"256. ONEOK Field, North Elgin Avenue, Tulsa, OK, USA",Fortune 500 HQ,52
"255. Edison International, Walnut Grove Avenue, Rosemead, CA, USA",Fortune 500 HQ,85
"254. Global Partners LP, South Street, Waltham, MA, USA",Fortune 500 HQ,86
"253. Discover Financial Services, Lake Cook Road, Riverwoods, IL, USA",Fortune 500 HQ,94
252.VF,Fortune 500 HQ,94
"251. Reinsurance Group of America Inc., Swingley Ridge Road, Chesterfield, MO, USA",Fortune 500 HQ,96
"250. Core-Mark Holding, South San Francisco, CA, USA",Fortune 500 HQ,89
"249. Ameriprise Financial -  Minneapolis, MN, USA",Fortune 500 HQ,100
"221. Viacom, Broadway, New York, NY, USA",Fortune 500 HQ,99
"247. State Street Corporation, Boston, MA, USA",Fortune 500 HQ,100
"246. BB and T Corp Winston-Salem, NC, USA",Fortune 500 HQ,87
"245. BJ's Wholesale Club, Westborough, MA, USA",Fortune 500 HQ,83
"244. Guardian Life Ins. Co. of America, New York, NY, USA",Fortune 500 HQ,99
"243. Newell Brands Hoboken, NJ, USA",Fortune 500 HQ,96
"242. Henry Schein Inc, Melville, NY, USA",Fortune 500 HQ,96
"241. L Brands OH, USA",Fortune 500 HQ,99
"240. Salesforce.com San Francisco, CA, USA",Fortune 500 HQ,100
"239. ADP Roseland, Adp Boulevard, Roseland, NJ, USA",Fortune 500 HQ,100
"238. Dominion Energy Richmond, VA, USA",Fortune 500 HQ,95
"237.  Anadarko,The Woodlands, Texas, USA",Fortune 500 HQ,50
"236. Alcoa Corporation, Pittsburgh, PA, USA",Fortune 500 HQ,100
"235. Biogen, Cambridge, MA, USA",Fortune 500 HQ,100
"234. Kellogg, Battle Creek, MI, USA",Fortune 500 HQ,44
"233. Stryker, Kalamazoo, MI, USA",Fortune 500 HQ,92
"232. Dish Network Englewood, CO, USA",Fortune 500 HQ,80
"231. Estee Lauder New York, NY, USA",Fortune 500 HQ,94
"230. Las Vegas Sands Corp Las Vegas, NV, USA",Fortune 500 HQ,66
"229. Textron, Inc.,  Providence, RI, USA",Fortune 500 HQ,97
"228. Stanley black & decker, CT, USA",Fortune 500 HQ,51
"227. Arconic New York, NY, USA",Fortune 500 HQ,99
"226. Loews Regency New York, Park Avenue, New York, NY, USA",Fortune 500 HQ,91
"225. Qurate Retail Englewood, CO, USA",Fortune 500 HQ,90
"224. Kinder Morgan,Houston, TX, USA",Fortune 500 HQ,95
"223. Community Health Systems Franklin, TN, USA",Fortune 500 HQ,68
"222. United States Steel Pittsburgh, PA, USA",Fortune 500 HQ,97
"221. BlackRock New York, NY, USA",Fortune 500 HQ,91
"220. DTE Energy, Detroit MI",Fortune 500 HQ,0
"219. Principal Financial Group, High Street, Des Moines, IA, USA",Fortune 500 HQ,92
"218. Parker Hannifin Corp, Parkland Boulevard, Cleveland, OH, USA",Fortune 500 HQ,93
"217. CBS Corporation, New York, NY, USA",Fortune 500 HQ,100
"216. Booking Holdings Norwalk, CT, USA",Fortune 500 HQ,86
"215 Ecolab, Saint Paul, MN, USA",Fortune 500 HQ,100
"214 ITW  Glenview, IL, USA",Fortune 500 HQ,85
"213. Waste Management - Houston Houston, TX, USA",Fortune 500 HQ,100
"212. Land O Lakes, Lexington Avenue North, Arden Hills, MN, USA",Fortune 500 HQ,89
"210. Mastercard, Purchase, NY, USA",Fortune 500 HQ,82
"210. Marsh Mclennan: Geiger Richard, 6th Avenue, New York, NY, USA",Fortune 500 HQ,100
"209 Ross Dress for Less, Dublin Boulevard, Dublin, CA, USA",Fortune 500 HQ,100
"208. Jacobs Engineering Group Dallas, TX, USA",Fortune 500 HQ,69
"207. Celgene Corporation, Morris Avenue, Summit, NJ, USA",Fortune 500 HQ,47
"206. Omnicom Group Inc, Madison Avenue, New York, NY, USA",Fortune 500 HQ,90
"205. PPG Industries Inc, Pittsburgh, PA, USA",Fortune 500 HQ,100
"204. PayPal, San Jose, CA, USA",Fortune 500 HQ,67
"203. Goodyear Auto Service, Akron, OH, USA",Fortune 500 HQ,77
"202. Colgate-Palmolive Company, Park Avenue, New York, NY, USA",Fortune 500 HQ,92
"201. Supervalu  Eden Prairie, MN, USA",Fortune 500 HQ,99
"200. General Mills  Minneapolis, MN, USA",Fortune 500 HQ,100
"199. Texas Instruments, Dallas, TX, USA",Fortune 500 HQ,69
"198. Aramark HQ, Philadelphia, PA, USA",Fortune 500 HQ,90
"197. Netflix Los Gatos, CA, USA",Fortune 500 HQ,87
"196. Nordstrom Downtown Seattle, Pine Street, Seattle, WA, USA",Fortune 500 HQ,100
"195. Becton Dickinson  Franklin Lakes, NJ, USA",Fortune 500 HQ,100
"194. Rockingham Estates by D.R. Horton America's Builder, Longbow Lane, Arlington, TX, USA",Fortune 500 HQ,80
"193. Cognizant, Frank W Burr Boulevard, Teaneck, NJ, USA",Fortune 500 HQ,45
"192. American Electric Power Co, Riverside Plaza, Columbus, OH, USA",Fortune 500 HQ,72
"191. CDW, Tri State International, Lincolnshire, IL, USA",Fortune 500 HQ,78
"190. WestRock  Atlanta, GA, USA",Fortune 500 HQ,66
"189. Jones Lang La Salle, West Monroe Street, Chicago, IL, USA",Fortune 500 HQ,97
"188. Davita, Denver, Colorado, USA",Fortune 500 HQ,94
"187. Lincoln Financial Group, Radnor, PA, USA",Fortune 500 HQ,92
"186. Gap San Francisco, CA, USA",Fortune 500 HQ,85
"185. C.H. Robinson, Charlson Road, Eden Prairie, MN, USA",Fortune 500 HQ,86
"184. NextEra Energy Resources, Universe Boulevard, Juno Beach, FL, USA",Fortune 500 HQ,88
"183. PG&E San Francisco, CA, USA",Fortune 500 HQ,93
"182. Applied Materials Inc,  Santa Clara, CA, USA",Fortune 500 HQ,99
