"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price","Population"
"Voya ","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Adobe","San Jose","California","Santa Clara",37.3382082,-121.8863286,1558540,"39,538,223"
"Walt Disney","Burbank","California","Los Angeles",34.1808392,-118.3089661,883230,"39,538,223"
"Glenworth Financial","Richmond","Virginia",NA,37.5407246,-77.4360481,NA,"8,631,393"
"Expeditors","Seattle","Washington","King",47.605838,-122.334683,903970,"7,705,281"
"Dana Incorporated",NA,"Ohio","Lucas",41.574963,-83.6842561,182700,"11,799,448"
"Jefferies Financial Group","New York","New York","New York",40.760264,-73.9745164,1172110,"20,201,249"
"Wesco International Inc","Pittsburgh","Pennsylvania","Allegheny",40.4337234,-80.0057853,254090,"13,002,700"
"Huntington Ingalls Industries","Newport News","Virginia",NA,36.9882362,-76.4371783,NA,"8,631,393"
"Amphenol",NA,"Connecticut","South Central Connecticut Planning Region",41.4570108,-72.8230736,NA,"3,605,944"
"United Rentals","Stamford","Connecticut","Western Connecticut Planning Region",41.0406771,-73.5572187,NA,"3,605,944"
"Assurant","New York","New York","New York",40.7077916,-74.0089405,1172110,"20,201,249"
"Alaska Air Group","Seattle","Washington","King",47.6062095,-122.3320708,903970,"7,705,281"
"SpartanNash Company","Byron Township","Michigan","Kent",42.825551,-85.684614,343290,"10,077,331"
"Darden Restaurants",NA,"Florida","Orange",28.4180207,-81.4248443,431320,"21,538,187"
"THOR INDUSTRIES","Elkhart","Indiana","Elkhart",41.6819935,-85.9766671,251910,"6,785,528"
"EMCOR Norwalk","Norwalk","Connecticut","Western Connecticut Planning Region",41.1493739,-73.4269254,NA,"3,605,944"
"Masco Corp",NA,"Michigan","Wayne",42.36837,-83.3527097,206910,"10,077,331"
"Caesars Entertainment","Las Vegas","Nevada","Clark",36.1165658,-115.1752403,457490,"3,104,614"
"JetBlue Airways Corporation","New York","New York","Queens",40.7509337,-73.9385978,763630,"20,201,249"
"WEC Energy Group","Milwaukee","Wisconsin","Milwaukee",43.0370226,-87.9138533,270080,"5,893,718"
"W. R. Berkley Corporation",NA,"Connecticut","Western Connecticut Planning Region",41.018681,-73.6223224,NA,"3,605,944"
"EnLink Midstream","Dallas","Texas","Dallas",32.7920752,-96.7951114,329370,"29,145,505"
"Anixter Glenview",NA,"Illinois","Cook",42.0974698,-87.8239375,357630,"12,812,508"
"Osh Kosh","Oshkosh","Wisconsin","Winnebago",44.0247062,-88.5426136,268680,"5,893,718"
"Builders FirstSource","Dallas","Texas","Dallas",32.78536,-96.796337,329370,"29,145,505"
"Ryder System","Miami","Florida","Miami-Dade",25.7616798,-80.1917902,555610,"21,538,187"
"Dean Foods Company","Dallas","Texas","Dallas",32.8055096,-96.7923794,329370,"29,145,505"
"PPL","Allentown","Pennsylvania","Lehigh",40.6081366,-75.5704494,354850,"13,002,700"
"Yum China Holdings","Plano","Texas","Collin",33.0198431,-96.6988856,541940,"29,145,505"
