"facility_name","address","city","state","zip","county","lat","long","status","operator_name","mw","sizerank","community_pushback","mw_clean","local_gen_mw","pct_consumed","local_mw_capacity","pct_consumed_capped"
"Stak Energy Data Center","Dalton Hwy, 26 miles south of Deadhorse","North Slope Borough","AK",NA,"North Slope",69.90071,-148.81477,"Proposed","Stak","3000","Mega campus (>1,000 MW)","Unknown",3000,2664,9900.9900990099,30.3,100
"Prudhoe Bay Data Center","Dalton Hwy","Prudhoe Bay","AK","99734","North Slope",70.18478,-148.44,"Operating","Far North Digital, LLC","120","Hyperscale (100-999 MW)","Unknown",120,2664,396.039603960396,30.3,100
"Grant County Data Center","Just outside the city limits of Sheridan, Arkansas, in rural Grant County.","Sheridan","AK","72150","Grant",34.3065,-92.4045,"Proposed","Clean Cloud Energy","500","Hyperscale (100-999 MW)","Yes",500,898783.800000004,12.2865216857108,4069.5,12.2865216857108
"Project Marvel","Rock Mountain Lake Rd","Bessemer","AL","35022","Jefferson",33.342,-87.0341,"Proposed","Logistic Land Investments LLC","1200","Mega campus (>1,000 MW)","Yes",1200,929308.200000004,22.3330603737065,5373.2,22.3330603737065
"BHM01 Nebius Data Center","201 Milan Parkway","Birmingham","AL","35221","Jefferson",33.42746,-86.88143,"Proposed","Nebius","300","Hyperscale (100-999 MW)","Unknown",300,931032.600000004,5.41878149666745,5536.3,5.41878149666745
"DC Blox","433 6th St S","Birmingham","AL","35233","Jefferson",33.50051,-86.821,"Operating",NA,NA,"Unknown","Unknown",0,932139.200000004,0,6155.7,0
"Google Data Center","48809 Alabama 277","Bridgeport","AL","35740","Jackson",34.92019,-85.7446,"Operating","Google",NA,"Hyperscale (100-999 MW)","Unknown",0,946051.200000006,0,6762.6,0
"Western Hospitality Partners Data Center","Childersburg Industrial Park","Childersburg","AL","35044","Talladega",33.340885,-86.336205,"Proposed",NA,"500","Hyperscale (100-999 MW)","Yes",500,932154.800000005,7.08747359916084,7054.7,7.08747359916084
"DC Blox","333 Diamond Dr NW","Huntsville","AL","35806","Madison",34.71003,-86.693,"Operating",NA,NA,"Unknown","Unknown",0,949103.800000006,0,6029.3,0
"Meta Data Center","5400 Prosperity Dr NW","Huntsville","AL","35810","Madison",34.84065,-86.6295,"Operating","Meta",NA,"Unknown","Unknown",0,951359.900000007,0,6029.3,0
"Meta Data Center","~1125 Hyundai Blvd","Montgomery","AL","36105","Montgomery",32.27604,-86.3287,"Approved/Permitted/Under construction","Meta","100-200","Hyperscale (100-999 MW)","Unknown",100,914177.500000003,2.20366248705348,4537.9,2.20366248705348
"Wilsonville Data Center","Shleby County Highway 61","Wilsonville","AL","35186","Shleby",33.257,-86.495,"Proposed","Northpoint Development","1008","Mega campus (>1,000 MW)","Yes",1008,931540.000000005,11.3121156349598,8910.8,11.3121156349598
"Clarksville Data Center","North of Interstate 40","Clarksville","AR","72830","Johnson",35.454384,-93.44725,"Proposed","Serverfarm",NA,"Hyperscale (100-999 MW)","Yes",0,897829.600000004,0,2355.7,0
"Harrison Data Center","Graham Street 202","Harrison","AR","72601","Boone",36.21472,-93.0786,"Operating","Windstream",NA,"Small (0-10 MW)","Unknown",0,916085.300000005,0,813.5,0
"Avaio Digital Leo","near I-530 and 145th St","Little Rock","AR","72206","Pulaski",34.618,-92.26808,"Proposed","Avaio Digital","150-1,000","Hyperscale (100-999 MW)","Yes",150,913886.600000005,3.75977541608181,3989.6,3.75977541608181
"Data center","Little Rock Port","Little Rock","AR","72206","Pulaski",34.71681,-92.1737,"Proposed","Willowbend Capital LLC",NA,"Unknown","Unknown",0,916080.400000004,0,4138,0
"ForgeLight Ventures Data Center","Lollie Rd","Mayflower/ Conway","AR","72106","Faulkner",35.01258,-92.55369,"Proposed","ForgeLight Ventures, LLC",NA,"Unknown","Yes",0,917992.100000005,0,5234.8,0
"Brightspeed Data Center","214 S Denver Ave","Russellville","AR","72801","Pope",35.27746,-93.1372,"Operating",NA,NA,"Unknown","Unknown",0,899850.400000004,0,2353.7,0
"Groot LLC/ Google","Bollinger Rd","West Memphis/Proctor","AR","72376","Crittenden",35.11835,-90.2123,"Approved/Permitted/Under construction","Google",NA,"Hyperscale (100-999 MW)","Unknown",0,946062.800000005,0,3833.1,0
"Maricopa Data Center","2833rd Ave and W Patterson Rd","Buckeye","AZ","85326","Maricopa",33.192265,-112.67318,"Proposed","Fortescue",NA,"Unknown","Yes",0,396556.9,0,16824.8,0
"H5 Data Center","2600 W Germann Rd","Chandler","AZ","85286","Maricopa",33.27716,-111.886,"Operating","H5 Data Centers","32","Medium (11-50 MW)","Unknown",32,431708.900000001,0.358861064695921,8917.1,0.358861064695921
"Compass Data Center","850 S Bullard Ave","Goodyear","AZ","85338","Maricopa",33.44123,-112.377,"Approved/Permitted/Under construction","Compass Data Centers",NA,"Hyperscale (100-999 MW)","Unknown",0,413751.1,0,17416.2,0
"Microsoft Data Center","14250 W Broadway Rd","Goodyear","AZ","85338","Maricopa",33.410748,-112.36683,"Operating","Microsoft",NA,"Unknown","Unknown",0,413943.7,0,18121.6,0
"Stream Data Center","2950 S Litchfield Rd","Goodyear","AZ","85338","Maricopa",33.41965,-112.35942,"Approved/Permitted/Under construction","Stream Data Centers","200","Hyperscale (100-999 MW)","Unknown",200,413948.3,1.10365530637471,18121.6,1.10365530637471
"Vantage Data Center","45 S Bullard Ave","Goodyear","AZ","85338","Maricopa",33.44718,-112.373,"Approved/Permitted/Under construction","Vantage Data Centers","176","Hyperscale (100-999 MW)","Unknown",176,413751.1,1.01055339281818,17416.2,1.01055339281818
"Vintage Partners","Lower Buckeye Road and the Loop 202","Laveen, Phoenix","AZ","85043","Maricopa",33.421955,-112.19218,"Cancelled",NA,NA,"Unknown","Unknown",0,419415.500000001,0,17288.3,0
"Project Blue Marana","14990 W Hardin Rd","Marana","AZ","85653","Pima",32.4929,-111.28652,"Proposed","Beale Infrastructure","250-600","Hyperscale (100-999 MW)","Yes",250,432055.400000002,5.44093322886741,4594.8,5.44093322886741
"Apple Data Center","3740 S Signal Butte Rd","Mesa","AZ","85212","Maricopa",33.3471,-111.604,"Operating",NA,NA,"Unknown","Unknown",0,444921.500000001,0,8249.6,0
"Edged Mesa Data Center","8811 E Warner Rd","Mesa","AZ","85212","Maricopa",33.335514,-111.64406,"Operating","Edged","36","Medium (11-50 MW)","Unknown",36,443395.900000001,0.436384794414275,8249.6,0.436384794414275
"Mesa Amazon Data Center 1","10464 E Pecos Rd","Mesa","AZ","85212","Maricopa",33.29757,-111.607,"Proposed","Amazon",NA,"Hyperscale (100-999 MW)","Unknown",0,444199.600000001,0,8161.6,0
"Mesa Amazon Data Center 2","near Apple Data Center at Elliot/Signal Butte Rds","Mesa","AZ","85212","Maricopa",33.34263,-111.604,"Proposed","Amazon",NA,"Unknown","Unknown",0,444844.100000001,0,8249.6,0
"Meta Data Center","7610 E Elliot Rd","Mesa","AZ","85212","Maricopa",33.35076,-111.67,"Approved/Permitted/Under construction","Meta",NA,"Unknown","Unknown",0,441902.800000001,0,8289.6,0
"NTT Data Center","10256 Elliot Road","Mesa","AZ","85212","Maricopa",33.35061,-111.61,"Operating",NA,"240","Hyperscale (100-999 MW)","Unknown",240,444187.700000001,2.90923196276183,8249.6,2.90923196276183
"NTT Data Center","22000-21794 E Pecos Rd","Mesa","AZ","85212","Maricopa",33.29556,-111.614,"Approved/Permitted/Under construction","NTT Global Data Centers","200","Hyperscale (100-999 MW)","Unknown",200,443648.300000001,2.45049990198,8161.6,2.45049990198
"Page Data Center","Near Horseshoe Bend","Page","AZ","86046","Coconino",36.898376,-111.483154,"Proposed","Huntley LLC",NA,"Hyperscale (100-999 MW)","Yes",0,477660.000000001,0,1312,0
"Aligned","2500 W Union Hills Dr","Phoenix","AZ","85027","Maricopa",33.65898,-112.111,"Operating",NA,"180","Hyperscale (100-999 MW)","Unknown",180,422433.200000001,1.3563715553814,13270.7,1.3563715553814
"Expedient Data Center","2475 West Townley Avenue","Phoenix","AZ","85021","Maricopa",33.56452,-112.112,"Operating","Expedient","2","Medium (11-50 MW)","Unknown",2,421829.000000001,0.01356152865551,14747.6,0.01356152865551
"PHX1","2475 W Townley Ave","Phoenix","AZ","85021","Maricopa",33.56456,-112.112,"Operating",NA,"4","Small (0-10 MW)","Unknown",4,421829.000000001,0.0271230573110201,14747.6,0.0271230573110201
"QTS","120 E Van Buren St","Phoenix","AZ","85004","Maricopa",33.45193,-112.072,"Operating","QTS Data Centers","32","Medium (11-50 MW)","Unknown",32,423401.800000001,0.171280536108078,18682.8,0.171280536108078
"QTS","1200 N 40th St","Phoenix","AZ","85008","Maricopa",33.46237,-111.996,"Operating","QTS Data Centers","42","Hyperscale (100-999 MW)","Unknown",42,427203.400000001,0.391889748350797,10717.3,0.391889748350797
"Tract Phoenix Data Center","S. Johnson Rd and W. Southern Ave","Phoenix","AZ","85326","Maricopa",33.41019,-112.713,"Approved/Permitted/Under construction","Tract Data Centers",NA,"Mega campus (>1,000 MW)","Unknown",0,396280.1,0,16074.3,0
"MD-PHX1 Data Center","4801–4811 East Thistle Landing Drive","Phoeniz","AZ","85044","Maricopa",33.31197,-111.97816,"Proposed","Menlo Digital","180","Hyperscale (100-999 MW)","Yes",180,425311.000000001,1.36412207376869,13195.3,1.36412207376869
"Vermaland Data Center","near Hwy 10","Red Rock","AZ","85658","Pinal",32.55145,-111.452,"Proposed","Vermaland LLC","3000","Mega campus (>1,000 MW)","Unknown",3000,430320.000000001,65.2713110830686,4596.2,65.2713110830686
"Prime Data Center","3700 S Avondale Blvd","Tolleson","AZ","85353","Maricopa",33.41237,-112.30683,"Approved/Permitted/Under construction","Prime Data Centers","240","Hyperscale (100-999 MW)","Unknown",240,415183.5,1.34737598526869,17812.4,1.34737598526869
"Arizona Land Consulting Co.","near 33511 Indian School Rd","Tonopah","AZ","85354","Maricopa",33.49648,-112.775,"Proposed",NA,"1500","Mega campus (>1,000 MW)","Unknown",1500,394708.1,9.69925833004636,15465.1,9.69925833004636
"Data center: Davis-Monthan Air Force Base",NA,"Tucson","AZ","85707","Pima",32.164318,-110.86484,"Proposed",NA,NA,"Unknown","Unknown",0,434147.600000002,0,1367.2,0
"Project Blue Tucson","10098 E Brekke Rd","Tucson","AZ","85747","Pima",32.05091,-110.783,"Cancelled","Beale Infrastructure",NA,"Unknown","Unknown",0,434527.400000002,0,1445.5,0
"Aligned Data Centers Waddell Campus","8785-8907 N. Reems Road","Waddell","AZ","85355","Maricopa",33.57577,-112.45042,"Approved/Permitted/Under construction","Aligned Data Centers",NA,"Hyperscale (100-999 MW)","Unknown",0,413870.200000001,0,17015,0
"Takanock Data Center/Project Baccara","14707 W Olive Ave","Waddell","AZ","85355","Maricopa",33.56755,-112.37177,"Proposed","DigitalBridge","700","Hyperscale (100-999 MW)","Yes",700,414350.8,4.10528291263958,17051.2,4.10528291263958
"Guadalupe Quarry Redevelopment Project Data Center","near Quarry Rd","Brisbane","CA","94005","San Mateo",37.68586,-122.416,"Proposed",NA,NA,"Unknown","Unknown",0,251864.899999999,0,7867.8,0
"Coachella Valley Technology Campus","52nd Ave & Fillmore St","Coachella","CA","92274","Riverside",33.6714,-116.129,"Proposed",NA,"270-600","Hyperscale (100-999 MW)","Yes",270,316697.4,4.02240629283118,6712.4,4.02240629283118
