name,latitude,longitude,type,popup
Williams College,42.712725,-73.203132,LAC,"<strong>Williams College</strong><br/>Williamstown, MA<br/>Type: LAC"
Amherst College,42.372459,-72.518493,LAC,"<strong>Amherst College</strong><br/>Amherst, MA<br/>Type: LAC"
United States Naval Academy,38.980507,-76.481692,LAC,"<strong>United States Naval Academy</strong><br/>Annapolis, MD<br/>Type: LAC"
Swarthmore College,39.905159,-75.354278,LAC,"<strong>Swarthmore College</strong><br/>Swarthmore, PA<br/>Type: LAC"
Bowdoin College,43.907134,-69.963942,LAC,"<strong>Bowdoin College</strong><br/>Brunswick, ME<br/>Type: LAC"
United States Air Force Academy,39.010957,-104.891358,LAC,"<strong>United States Air Force Academy</strong><br/>USAF Academy, CO<br/>Type: LAC"
Pomona College,34.099027,-117.714556,LAC,"<strong>Pomona College</strong><br/>Claremont, CA<br/>Type: LAC"
Wellesley College,42.291554,-71.306605,LAC,"<strong>Wellesley College</strong><br/>Wellesley, MA<br/>Type: LAC"
Claremont McKenna College,34.102154,-117.711188,LAC,"<strong>Claremont McKenna College</strong><br/>Claremont, CA<br/>Type: LAC"
United States Military Academy,41.388988,-73.956772,LAC,"<strong>United States Military Academy</strong><br/>West  Point, NY<br/>Type: LAC"
Carleton College,44.462318,-93.154666,LAC,"<strong>Carleton College</strong><br/>Northfield, MN<br/>Type: LAC"
Harvey Mudd College,34.106515,-117.709837,LAC,"<strong>Harvey Mudd College</strong><br/>Claremont, CA<br/>Type: LAC"
Vassar College,41.686895,-73.895088,LAC,"<strong>Vassar College</strong><br/>Poughkeepsie, NY<br/>Type: LAC"
Barnard College,40.810098000000004,-73.963346,LAC,"<strong>Barnard College</strong><br/>New York, NY<br/>Type: LAC"
Wesleyan University,41.554665,-72.657146,LAC,"<strong>Wesleyan University</strong><br/>Middletown, CT<br/>Type: LAC"
Davidson College,35.499767,-80.843979,LAC,"<strong>Davidson College</strong><br/>Davidson, NC<br/>Type: LAC"
Hamilton College,43.050245,-75.408195,LAC,"<strong>Hamilton College</strong><br/>Clinton, NY<br/>Type: LAC"
Smith College,42.318111,-72.638097,LAC,"<strong>Smith College</strong><br/>Northampton, MA<br/>Type: LAC"
Grinnell College,41.747952,-92.722094,LAC,"<strong>Grinnell College</strong><br/>Grinnell, IA<br/>Type: LAC"
Middlebury College,44.009117,-73.176068,LAC,"<strong>Middlebury College</strong><br/>Middlebury, VT<br/>Type: LAC"
Washington and Lee University,37.788939,-79.443018,LAC,"<strong>Washington and Lee University</strong><br/>Lexington, VA<br/>Type: LAC"
Colgate University,42.819475,-75.536346,LAC,"<strong>Colgate University</strong><br/>Hamilton, NY<br/>Type: LAC"
University of Richmond,37.577393,-77.538806,LAC,"<strong>University of Richmond</strong><br/>University of Richmond, VA<br/>Type: LAC"
Haverford College,40.007452,-75.305207,LAC,"<strong>Haverford College</strong><br/>Haverford, PA<br/>Type: LAC"
Colby College,44.564211,-69.66337,LAC,"<strong>Colby College</strong><br/>Waterville, ME<br/>Type: LAC"
Bates College,44.105299,-70.203333,LAC,"<strong>Bates College</strong><br/>Lewiston, ME<br/>Type: LAC"
College of the Holy Cross,42.23752,-71.808214,LAC,"<strong>College of the Holy Cross</strong><br/>Worcester, MA<br/>Type: LAC"
Macalester College,44.938565,-93.168053,LAC,"<strong>Macalester College</strong><br/>Saint Paul, MN<br/>Type: LAC"
Mount Holyoke College,42.25489,-72.573916,LAC,"<strong>Mount Holyoke College</strong><br/>South Hadley, MA<br/>Type: LAC"
Colorado College,38.84886,-104.822697,LAC,"<strong>Colorado College</strong><br/>Colorado Springs, CO<br/>Type: LAC"
Bryn Mawr College,40.02736,-75.313223,LAC,"<strong>Bryn Mawr College</strong><br/>Bryn Mawr, PA<br/>Type: LAC"
Bucknell University,40.954317,-76.882616,LAC,"<strong>Bucknell University</strong><br/>Lewisburg, PA<br/>Type: LAC"
Lafayette College,40.69956,-75.209786,LAC,"<strong>Lafayette College</strong><br/>Easton, PA<br/>Type: LAC"
Denison University,40.071505,-82.523272,LAC,"<strong>Denison University</strong><br/>Granville, OH<br/>Type: LAC"
