GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO6E001,AUO7E001,AUO7E002,AUO7E003,AUO7E004,AUO7E005,AUO7E006,AUO7E007,AUO7E008,AUO7E009,AUO7E010,AUQ8E001,AUQ8E002,AUQ8E003,AUQ8E004,AUQ8E005,AUQ8E006,AUQ8E007,AUQ8E008,AUQ8E009,AUQ8E010,AUQ8E011,AUQ8E012,AUQ8E013,AUQ8E014,AUQ8E015,AUQ8E016,AUQ8E017,AUQ8E018,AUQ8E019,AUQ8E020,AUQ8E021,AUQ8E022,AUQ8E023,AUQ8E024,AUQ8E025,AURUE001,NAME_M,AUO6M001,AUO7M001,AUO7M002,AUO7M003,AUO7M004,AUO7M005,AUO7M006,AUO7M007,AUO7M008,AUO7M009,AUO7M010,AUQ8M001,AUQ8M002,AUQ8M003,AUQ8M004,AUQ8M005,AUQ8M006,AUQ8M007,AUQ8M008,AUQ8M009,AUQ8M010,AUQ8M011,AUQ8M012,AUQ8M013,AUQ8M014,AUQ8M015,AUQ8M016,AUQ8M017,AUQ8M018,AUQ8M019,AUQ8M020,AUQ8M021,AUQ8M022,AUQ8M023,AUQ8M024,AUQ8M025,AURUM001
"G0100010","2020-2024","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01001",,,"01001","Autauga County, Alabama",59947,59947,42822,12244,36,680,5,693,3467,2031,1436,41392,286,24,0,0,0,0,8,19,49,9,224,496,982,807,689,11483,2472,2699,6080,3004,6378,4764,598,321,72481,"Autauga County, Alabama",-555555555,-555555555,423,399,34,224,15,273,603,463,379,122,154,28,31,31,31,31,17,29,43,13,122,184,277,237,217,822,404,378,685,500,592,576,250,133,5640
"G0100030","2020-2024","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01003",,,"01003","Baldwin County, Alabama",246989,246989,202133,19909,910,2552,139,5754,15592,8367,7225,177628,1645,127,98,63,52,0,61,43,869,332,830,1604,2838,2284,3702,39036,9044,13284,24549,17325,37938,15646,4035,2223,78775,"Baldwin County, Alabama",-555555555,-555555555,1579,884,360,374,125,1440,1680,1241,1119,237,381,100,111,83,61,31,54,44,404,245,281,425,566,566,743,1710,1182,1149,1275,1031,1824,1168,665,462,2602
"G0100050","2020-2024","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01005",,,"01005","Barbour County, Alabama",24643,24643,10852,11423,39,145,8,1308,868,412,456,17615,207,73,37,68,0,96,20,43,124,162,401,370,1072,661,518,5286,1385,1044,2424,1752,1139,497,181,55,46042,"Barbour County, Alabama",-555555555,-555555555,238,182,35,16,17,351,288,220,170,76,77,77,46,59,25,78,23,37,69,88,137,116,241,164,122,337,271,218,266,239,208,126,108,45,5089
"G0100070","2020-2024","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01007",,,"01007","Bibb County, Alabama",22130,22130,16378,4378,130,99,0,256,889,253,636,15965,192,0,4,0,0,11,0,34,140,84,444,423,438,608,454,5859,920,952,2293,1237,1173,548,63,88,52541,"Bibb County, Alabama",-555555555,-555555555,126,264,132,86,25,216,281,157,245,206,127,25,11,25,25,19,25,44,92,53,144,149,152,242,180,517,221,233,392,246,267,191,38,54,8950
"G0100090","2020-2024","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01009",,,"01009","Blount County, Alabama",59518,59518,52460,716,216,69,81,2305,3671,2149,1522,41174,1058,0,0,15,12,95,75,164,299,218,385,791,1575,1194,1033,12002,2792,3466,4959,4528,4041,2034,292,146,64190,"Blount County, Alabama",-555555555,-555555555,617,149,120,55,75,634,529,531,208,135,244,31,31,28,21,71,68,117,121,95,139,223,395,277,246,705,399,448,458,537,537,358,132,68,3472
"G0100110","2020-2024","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01011",,,"01011","Bullock County, Alabama",10058,10058,2293,6986,0,42,0,357,380,245,135,7269,242,0,15,0,0,0,32,0,109,100,287,195,300,240,311,2713,405,359,918,453,387,126,77,0,31310,"Bullock County, Alabama",-555555555,-555555555,172,231,21,43,21,169,252,173,111,214,105,21,26,21,21,21,44,21,89,63,104,121,116,91,145,315,143,145,245,166,158,70,65,21,9971
"G0100130","2020-2024","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01013",,,"01013","Butler County, Alabama",18630,18630,9468,8327,85,248,0,89,413,190,223,13103,364,9,0,0,0,0,0,0,58,15,167,290,267,188,350,5146,843,721,1682,1229,1051,491,196,36,44755,"Butler County, Alabama",-555555555,-555555555,93,103,49,57,21,95,159,120,127,169,142,20,21,21,21,21,21,21,37,15,102,93,102,85,145,388,201,176,275,220,216,118,78,29,2896
"G0100150","2020-2024","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01015",,,"01015","Calhoun County, Alabama",116090,116090,81706,25450,450,986,151,2389,4958,1906,3052,78486,1059,0,0,0,4,32,10,70,435,416,1212,1693,1672,2312,1750,21726,5388,5696,12001,6803,9874,4609,860,864,55029,"Calhoun County, Alabama",-555555555,-555555555,507,574,261,135,153,519,780,544,508,175,278,31,31,31,7,38,20,62,171,153,361,387,342,414,354,1223,569,604,927,750,651,486,282,269,2763
"G0100170","2020-2024","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01017",,,"01017","Chambers County, Alabama",34192,34192,18794,13131,51,81,3,948,1184,157,1027,24289,623,0,0,0,0,31,26,102,76,77,430,567,789,930,305,7445,1808,1464,3762,2233,2423,873,213,112,49656,"Chambers County, Alabama",-555555555,-555555555,278,321,44,58,4,276,337,110,317,40,174,28,28,28,28,36,32,68,54,57,138,201,223,269,120,670,331,277,412,365,351,230,126,117,3919
"G0100190","2020-2024","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01019",,,"01019","Cherokee County, Alabama",25443,25443,23091,970,62,60,0,205,1055,305,750,19019,272,13,0,0,18,0,40,14,84,138,499,418,690,650,506,5475,1244,1357,2349,2114,1751,936,289,162,53863,"Cherokee County, Alabama",-555555555,-555555555,155,202,41,74,25,74,257,178,227,128,81,19,25,25,31,25,40,29,63,82,173,160,268,194,166,414,269,299,347,393,273,238,150,97,4463
