name,type,latitude,longitude,popup
Opera Baltimore,Professional Company Member,39.2970026,-76.6165226,"<strong>Opera Baltimore</strong><br/>Baltimore, MD<br/>Type: Professional Company Member"
Lyric Opera of the North,Professional Company Member,46.787977,-92.107765,"<strong>Lyric Opera of the North</strong><br/>Duluth, MN<br/>Type: Professional Company Member"
Milwaukee Opera Theatre,Professional Company Member,43.053271,-87.998951,"<strong>Milwaukee Opera Theatre</strong><br/>Wauwatosa, WI<br/>Type: Professional Company Member"
Opera on Tap,Professional Company Member,40.64528,-73.97508,"<strong>Opera on Tap</strong><br/>Brooklyn, NY<br/>Type: Professional Company Member"
Opera Tampa,Professional Company Member,27.9516138,-82.4639399,"<strong>Opera Tampa</strong><br/>Tampa, FL<br/>Type: Professional Company Member"
Overtone Industries,Professional Company Member,34.0644171,-118.3710897,"<strong>Overtone Industries</strong><br/>Los Angeles, CA<br/>Type: Professional Company Member"
Pacific Opera Project,Professional Company Member,34.1175895,-118.188329,"<strong>Pacific Opera Project</strong><br/>Los Angeles, CA<br/>Type: Professional Company Member"
Opera Cultura,Professional Company Member,37.739584,-122.158989,"<strong>Opera Cultura</strong><br/>Oakland, CA<br/>Type: Professional Company Member"
St. Petersburg Opera Company,Professional Company Member,27.7703677,-82.6356732,"<strong>St. Petersburg Opera Company</strong><br/>St. Petersburg, FL<br/>Type: Professional Company Member"
Washington Concert Opera,Professional Company Member,38.9224746,-77.0348904,"<strong>Washington Concert Opera</strong><br/>Washington, DC<br/>Type: Professional Company Member"
Amarillo Opera,Professional Company Member,35.1876426,-101.844523,"<strong>Amarillo Opera</strong><br/>Amarillo, TX<br/>Type: Professional Company Member"
American Lyric Theater,Professional Company Member,40.7583763,-73.9934141,"<strong>American Lyric Theater</strong><br/>New York, NY<br/>Type: Professional Company Member"
American Opera Projects,Professional Company Member,40.685136,-73.9735133,"<strong>American Opera Projects</strong><br/>Brooklyn, NY<br/>Type: Professional Company Member"
Annapolis Opera,Professional Company Member,38.9738068,-76.5056846,"<strong>Annapolis Opera</strong><br/>Annapolis, MD<br/>Type: Professional Company Member"
Arizona Opera,Professional Company Member,33.4673673,-112.0741316,"<strong>Arizona Opera</strong><br/>Phoenix, AZ<br/>Type: Professional Company Member"
Charlottesville Opera,Professional Company Member,38.032291,-78.479506,"<strong>Charlottesville Opera</strong><br/>Charlottesville, VA<br/>Type: Professional Company Member"
Atlanta Opera,Professional Company Member,33.7977439,-84.4075634,"<strong>Atlanta Opera</strong><br/>Atlanta, GA<br/>Type: Professional Company Member"
Austin Opera,Professional Company Member,30.37976,-97.730224,"<strong>Austin Opera</strong><br/>Austin, TX<br/>Type: Professional Company Member"
Beth Morrison Projects,Professional Company Member,40.6464559,-73.9607382,"<strong>Beth Morrison Projects</strong><br/>Brooklyn, NY<br/>Type: Professional Company Member"
Cedar Rapids Opera,Professional Company Member,41.9755909,-91.6658426,"<strong>Cedar Rapids Opera</strong><br/>Cedar Rapids, IA<br/>Type: Professional Company Member"
