ref_number,prefix,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_international,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,nhl_designated_date,other_names,park_name,property_id,district_name,address
84000596,NA,Daniel Pratt Historic District,Alabama,Autauga,Prattville,"Roughly bounded by Northington Rd., 1st, 6th, Bridge, and Court Sts.",Listed,Single,FALSE,140,Industry; Architecture; Social History,District,https://catalog.archives.gov/id/77835702,FALSE,FALSE,TRUE,FALSE,FALSE,1984-08-30,NA,NA,NA,84000596,Daniel Pratt,"Daniel Pratt Historic District, Autauga, Alabama"
88000107,NA,Battles Wharf Historic District,Alabama,Baldwin,Battles Wharf,"US 98, Eastern Shore Blvd. roughly between Woolworth Ave. and Buerger La.",Listed,Single,FALSE,34,Entertainment/Recreation; Architecture,District,https://catalog.archives.gov/id/77835727,FALSE,FALSE,FALSE,TRUE,FALSE,1988-04-28,NA,NA,NA,88000107,Battles Wharf,"Battles Wharf Historic District, Baldwin, Alabama"
88000520,NA,Brodbeck-Zundel Historic District,Alabama,Baldwin,Point Clear,US 98 Scenic Route and Old Marlow Rd.,Listed,Single,FALSE,4.6,Architecture,District,https://catalog.archives.gov/id/77835719,FALSE,FALSE,FALSE,TRUE,FALSE,1988-04-28,NA,NA,NA,88000520,Brodbeck-Zundel,"Brodbeck-Zundel Historic District, Baldwin, Alabama"
04000115,AD,Fairhope Downtown Historic District,Alabama,Baldwin,Fairhope,"Roughly bounded by Equality St., Fairhope Ave., Morphy Ave., School St., Summit St.",Listed,Add.doc.,FALSE,100,Social History; Architecture,District,NA,FALSE,TRUE,FALSE,FALSE,FALSE,2006-03-16,NA,NA,NA,04000115,Fairhope Downtown,"Fairhope Downtown Historic District, Baldwin, Alabama"
04001496,AD,Foley Downtown Historic District,Alabama,Baldwin,Foley,"Parts of Alston, N & S McKenzie, AL 98, E & W Laurel, Myrtle, Rose, and W. Orange",Listed,Add.doc.,FALSE,230.6,Commerce; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2005-01-19,NA,NA,NA,04001496,Foley Downtown,"Foley Downtown Historic District, Baldwin, Alabama"
12000316,NA,Foley Downtown Historic District (Boundary Decrease),Alabama,Baldwin,Foley,"Parts of Alston, McKenzie, N. & S. Laurel & W. Orange Sts.",Listed,Single,FALSE,19.4,Commerce; Architecture,District,https://catalog.archives.gov/id/77835735,FALSE,FALSE,FALSE,TRUE,FALSE,2012-06-04,NA,NA,NA,12000316,Foley Downtown (Boundary Decrease),"Foley Downtown Historic District (Boundary Decrease), Baldwin, Alabama"
100003122,RS,Foley Downtown Historic District (Boundary Increase),Alabama,Baldwin,Foley,"Parts of N&S Alston, N & S McKenzie, Laurel & Pine Sts., W Myrtle, E  & W Rose, W. Orange &  W Jessamine Aves.",Listed,Resubmission,FALSE,104,Commerce; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2019-09-20,NA,NA,NA,04001496,Foley Downtown (Boundary Increase),"Foley Downtown Historic District (Boundary Increase), Baldwin, Alabama"
11001046,NA,Magnolia Springs Historic District,Alabama,Baldwin,Magnolia Springs,"Roughly along Oak, Spring, Bay, Jessamine, Magnolia, Pine & Rock Sts., Island, Cedar & Holly Aves. & Magnolia Spgs. Hyw.",Listed,Single,FALSE,163,Entertainment/Recreation,District,https://catalog.archives.gov/id/77835740,FALSE,FALSE,FALSE,TRUE,FALSE,2012-01-27,NA,NA,NA,11001046,Magnolia Springs,"Magnolia Springs Historic District, Baldwin, Alabama"
76000310,NA,Montrose Historic District,Alabama,Baldwin,Montrose,Main (AL 42) and 2nd Sts.,Listed,Single,FALSE,79,Architecture,District,https://catalog.archives.gov/id/77835717,FALSE,FALSE,TRUE,FALSE,FALSE,1976-06-03,NA,See Also:Creole and Gulf Coast Cottages in Baldwin County TR,NA,76000310,Montrose,"Montrose Historic District, Baldwin, Alabama"
88000515,NA,Point Clear Historic District,Alabama,Baldwin,Point Clear,W side of US 98/Eastern Shore Blvd.,Listed,Single,FALSE,68,Entertainment/Recreation; Architecture,District,https://catalog.archives.gov/id/77835725,FALSE,FALSE,FALSE,TRUE,FALSE,1988-04-28,NA,NA,NA,88000515,Point Clear,"Point Clear Historic District, Baldwin, Alabama"
88001009,NA,White Avenue Historic District,Alabama,Baldwin,Fairhope,White Ave.,Listed,Multiple,FALSE,5,Economics; Entertainment/Recreation; Exploration/Settlement; Architecture; Philosophy,District,https://catalog.archives.gov/id/77834823,FALSE,FALSE,FALSE,TRUE,FALSE,1988-07-01,NA,NA,NA,88001009,White Avenue,"White Avenue Historic District, Baldwin, Alabama"
73000330,NA,Lore Historic District,Alabama,Barbour,Eufaula,"Bounded by Eufaula Ave., and Browder, Livingston, and Barbour Sts.",Listed,Single,FALSE,395,Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835781,FALSE,FALSE,TRUE,FALSE,FALSE,1973-12-12,NA,See Also:82001990;71000093;72000156;72000154;71000095;720001,NA,73000330,Lore,"Lore Historic District, Barbour, Alabama"
86001534,AD,"Lore, Seth And Irwinton Historic District (Boundary Increase)",Alabama,Barbour,Eufaula,"Roughly bounded by Browder St., Van Buren Ave., Washington St., and Sanford Ave.",Listed,Add.doc.,FALSE,205,Industry; Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835779,FALSE,FALSE,TRUE,FALSE,FALSE,1986-08-14,NA,See Also:71000093;71000095;72000154;72000156;73000330;820019,NA,86001534,"Lore, Seth And Irwinton (Boundary Increase)","Lore, Seth And Irwinton Historic District (Boundary Increase), Barbour, Alabama"
78000482,NA,Centreville Historic District,Alabama,Bibb,Centreville,"Walnut St., East and West Court Sq.",Listed,Single,FALSE,7.5,Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835799,FALSE,FALSE,TRUE,FALSE,FALSE,1978-10-19,NA,NA,NA,78000482,Centreville,"Centreville Historic District, Bibb, Alabama"
76000312,NA,Bullock County Courthouse Historic District,Alabama,Bullock,Union Springs,N. Prairie St.,Listed,Single,FALSE,25.1,Economics; Politics/Government,District,https://catalog.archives.gov/id/77835813,FALSE,FALSE,TRUE,FALSE,FALSE,1976-10-08,NA,NA,NA,76000312,Bullock County Courthouse,"Bullock County Courthouse Historic District, Bullock, Alabama"
86001967,NA,Commerce Street Residential Historic District,Alabama,Butler,Greenville,"206, 212, 218, 301 E. Commerce St.",Listed,Multiple,FALSE,1.8,Industry; Commerce; Health/Medicine; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834897,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001967,Commerce Street Residential,"Commerce Street Residential Historic District, Butler, Alabama"
