STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE,C19WKSCL,C19WKSLO
AK,AK0001,002,Y,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,9150,KENAI PENINSULA,9072355692,CE,2880,R_21,0,1404,R_21,52,R_21,2022,08,00,00,00,-151.8315926,59.7796673,02,122,03110,59767,43,8,3027,0200,-4,N,E,100,POINTADDRESS,0,0
AK,AK0002,007,Y,AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,7743,ANCHORAGE,9073431530,BR,25452,R_21,0,1510,R_21,48,R_21,2022,08,00,00,00,-149.5713885,61.3295927,02,020,03000,288121,31,2.01,2000,0200,11260,0,E,100,SUBADDRESS,4,38
AK,AK0002,008,Y,AK0002-008,MULDOON LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2012,ANCHORAGE,9073434223,BR,8204,R_21,0,1500,R_21,48,R_21,2022,08,00,00,00,-149.7334126,61.210617,02,020,03000,288121,11,7.03,5009,0200,11260,0,E,100,SUBADDRESS,4,38
AK,AK0002,010,Y,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,3938,R_21,0,1525,R_21,48,R_21,2022,08,00,00,00,-149.1349747,60.9601421,02,020,03000,288121,42,29,2090,0200,11260,0,E,100,POINTADDRESS,4,38
AK,AK0002,011,Y,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6093,ANCHORAGE,9073432892,CE,146171,R_21,0,1544,R_21,48,R_21,2022,08,00,00,00,-149.8764562,61.1870715,02,020,03000,288121,11,19,4016,0200,11260,0,E,100,POINTADDRESS,4,38
AK,AK0002,012,Y,AK0002-012,MOUNTAIN VIEW LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432819,BR,10704,R_21,0,1517,R_21,48,R_21,2022,08,00,00,00,-149.8085247,61.2226231,02,020,03000,288121,11,9.01,2000,0200,11260,0,E,99.04,POINTADDRESS,4,38
AK,AK0003,002,Y,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,3041,R_21,0,420,R_21,40,R_21,2022,08,00,00,00,-149.1744083,64.3437494,02,068,03220,1593,43,1,1011,0200,-4,N,E,99.62,STREETADDRESS,8,8
AK,AK0006,002,Y,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,3656,R_21,0,2040,R_21,26,R_21,2022,08,00,00,00,-161.7736923,60.7905892,02,050,06520,18557,33,2,2018,0200,-4,N,E,100,MANUAL,26,26
AK,AK0007,002,Y,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,9663,MATANUSKA-SUSITNA,9078617635,CE,6940,R_21,0,-1,M_21,52,R_21,2022,08,00,00,00,-149.8186701,61.5477236,02,170,07070,110686,42,5.02,1009,0200,11260,0,E,99.58,POINTADDRESS,0,0
AK,AK0008,002,Y,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9077682372,CE,812,R_21,0,720,R_21,48,R_21,2022,08,00,00,00,-148.8948017,63.3923707,02,068,10150,1593,43,1,2176,0200,-4,N,E,100,MANUAL,0,0
